50,Great Vistas,Great drive through the Hollywood Hills with several places to pull over and take in spectacular views of LA. My favorite is the Overlook Above the Hollywood Bowl with incredible views of downtown LA,TravelingSoccerLoon
50,Wonderful vantage points!,"Overlooking both Vally and the City at night and in daytime...several areas to pull over, get out and look or photo...lots of fun if you enjoy curvy roads...",Trudi G
50,A good drive,This is the road that was made famous by the movies. It even has a picture named after it. The road is a lovely bendy twisty ride through the back hills of LA. It has some lovely views of the city too.,BT3rd
40,A nice drive,Mulholland Drive and the Mulholland highway make a nice Sunday drive to explore old Hollywood and vistas and overlooks. I’ve attached an overlook of the San Gabriel valley.,Kenneth1955
50,Not for the weak,This drive has many beautiful and famous homes. Such a beautiful drive. Just be very cautious as the winding Lots of drops off side of the cliff can happen easily. Only a careful driver should attempt.,Shanel S
50,Cruising with fantastic views,I would recommend driving Mulholland drive near the top of the list if you have a car. It’s a great drive and the views over the city and mountains are amazing. There are a number of places you can stop and take it all in.,TrailBlazer82563
40,Views from above,Nice view and a beautiful day to see LA from above! Glad we had the opportunity to see it because the weather was nice.,Ashley L
40,Worth the drive,Great views and beautiful houses can await on this windy road. Make sure you do not travel there at rush hour.,FM6565
50,Great vistas over LA,"We drove along Mullholand Drive on our own and saw many organized commercial tour groups at the overlooks where we stopped. This tour is best done on a clear day, for the best views of LA and the valley. We stopped at three overlooks, one overlooking the Hollywood Bowl, one overlooking Universal Studios, and one secret overlook which I will not reveal, but has amazing views of. . .well. . .I'm just not going to tell you, so the place doesn't get mobbed, in deference to the people who live there. There are amazing custom-built homes along Mulholland Drive, but most are hidden from view from the road, since they are built along cliffs overlooking the valley, for the view. This is a great tour for those unfamiliar with LA and wishing to get a bird's eye view.",RebelVirginia
40,Beautiful Scenery,"We rented a car and followed our GPS through Mulholland drive. There are several scenic stops where you can park your car, get out and enjoy the view. The houses are also quite impressive. Also saw a lot of ""star homes tours"", so I guess that's also one way to see the drive if you don't have a car.",Karim Maarouf
50,Lovely drive with great historh,Really enjoyed Mulholland Drive as part of a tour. Lots of history of film making. Worth reading up on then taking a drive through.,Gail G
50,Beautiful scenery and view on the Hollywood sign,"Combine your drive with a visit to Laurel Canyon were the 70’s are still alive. All hippie and everything and you will find The Doors ‘Love Street’ here next to the lovely oldschool supermarket were nothing seems to have changed.Drive on, take the Runyon Canyon hike and enjoy the hills and the viewpoints.",Layuitholland
50,Beautiful!,Mulholland Drive was absolutely a must see! Absolutely loved the scenery. Gorgeous homes if you could see them (mostly gated).,rshadrosky
40,Hulholland Drive,"One of the most emblematic drives to do when you visit Los Angeles, from Beverly Hills you need to Hills, visit the famous Beverly Hills Hotel and continue on North Beverly Glen Blvd until you reach Mulholland Drive you can do a right or left and you will have great views to the sea side and San Fernando Valley side.",GonzaloSanchez0518
40,A long and winding road.,"We hired a car while we were in Los Angeles because you really can’t get around without one. And we thought would be an excellent idea to drive up Mulholland Drive, and it was. However it’s a little bit scary this is a very winding road, scenery is sublime particularly on a clear day.It would be very nice to be able to live there some of the houses are magnificent there are a couple of areas along the way where you can stop to take your photographs all in all it’s about 45 minutes drive from start to finish.Some people go in those rooftop little buses I wouldn’t recommend it, it can be very hot the road is very windy and I wouldn’t want somebody else being responsible for my life, however I did see some tourists in those buses.I’m very glad we did this drive even though at times we were a little bit nervous because of the winding road it was a beautiful picture way to see some of Los Angeles and would be lovely at night time. I wouldn’t be game to drive at night time though I’m not sure that there is any street lights.Don’t go on the weekend I believe it gets very very busy.",ParisMatch
50,I wish I lived here,Great scenery of Los Ángeles! If you’re lucky to catch clear skies you’ll definitely want to come around sunset time. Highly recommended.,Elizabeth Koch
50,Best experienced in a convertible,"An awesome drive in so many ways--the road is challenging (lots of curves), scenic, and star-studded. The best way to experience it is in a convertible, where you can get the full effect of estates teetering on hillsides, the difference in air quality in the Valley, and the sensation you're at the top of the world. This is a must-see, must-experience-at-least-once attraction.",Janet F
50,A couper le souffle!,"A long drive on Mulholland is a must. The scenery is beautiful, with it's hills,vallies,vegetation and mansions perched up on hillsides! I would say that it is worth driving along day (to see everything) and night (lights in the vallies),the view points are spectacular and in the evening try and get to a view point just before sunset and then just wait for the show to begin! You often drive by Mulholland to get to other parts of greater LA so don't hesitate to make a detour if it wasn't in your plans.",happyinparistimestwo
50,Hold on tight! A must see!,"Long winding road with huge houses, 2 lanes and there are some impatient crazy drivers trying to hurry you up. The views are incredible (Not much in the way of barriers so keep young children close!) and some of the houses are bonkers just hanging off the mountain! Quite a few lookout points that you can pull into and take some photos or watch the sunset.",The Simmons Family Adventures
40,An impressive drive,"We hired a car and did this at our own leisure instead of the many tours that are offered. It was incredible the sizes of some of the houses along this route and the celebs that live along this street. It was also great that there were many lookouts that gave great views of downtown, universal city, and more.",Matt_92aus
30,Just ok....,"The drive takes you up and up into the hills of Hollywood. Great views at the top, but getting there was a lot of back and forth winding roads. A couple of family members had a good ""motion sickness"" headache by the time we got to the top. Neat to see some more expensive homes....but otherwise, the drive was just ok.....",James L
50,Great Views,The Drive offers great views of LA and is a must do while in town. You can stop and take a break at some of the overlooks.,Ken Q
40,Nice Drive with Views,Getting away from the congestion on the freeways onto this famous road you can drive along into the hills and see some wonderful views. The road was fairly quiet when we drove along it which was quite amazing.,WiseTreeOwl
50,Great view of the city,"Depending on how your GPS sends you, drive can be a challenge if you are not used to twists, turns, and hilly drives, but the view is well worth it!",MRSoFla
40,Cool Lil Drive,Drove across couple times and even on a couple tours. Saw some cool houses and some stars homes. Cool winding drive.,Tommy P
40,Driving through the hills.,"Loved looking at all the homes, wondering who lived there. Got to see the Hollywood sign, and all the places that you see on tv. You do not realize how many hills there are until you see them from the plane and drive.",orgislandgirl
50,Who needs a guided tour,"Who needs a guided tour when you have your own convertible. Great views, gorgeous houses and superb cruising. Really feeling the Hollywood vibe here!",Coen van den Brink
40,Good LA experience.,We had the day to kill while waiting for our flight home so we rented a car and drove up to the Hollywood bowl and across Mulholland drive. First stop was Jerome C Daniel overlook where we got lucky and drove straight into a parking spot as it was vacated. Not many spaces here but good views of the Hollywood sign and surroundings and worth a short wait. We then stopped at Runyon canyon which had a rough unmade parking area but it was well worth it. We walked through the park to Runyon ranch and had amazing views of the city and flamboyant homes in the area. There are many other great views such as the Universal city overlook and more canyons so we hope to revisit one day and do some more walking.,gomms13
