50,Try the Nitro Porter,"Friendly, unassuming, folks that brew really good beer. Started with the nitro porter & it was like slipping into your favorite T shirt & lounge pants. Exactly what you want at the end of the day. Looking forward to a return visit.",ABT
40,Awesome spot,I really love visiting craft breweries any where in the U.S. and I visited three weavers brewery many times during my stay in L.A. Great beers. I tried many and enjoyed all. Nice big room with patio seating and easy parking. Very close (within 2 miles) of LAX hotels which is a big plus. Friendly staff I'll definitely return next summer.,Thomas M
50,Craft brewing at its core,"This place, to me, represent independent craft beer! Local and cool, good beers, and not trying to keep up with the Jones’s (or the Ballast Points). There’s passion In the beers here, even with a few types that aren’t my thing! Good brewery",Love To Travel
40,Good solid brewery with great beers,Good small craft brewery a lot of good beers; do the flight and you will be happily surprised with the variety and selections. Beer only no foods; but you can bring your own food. Love the Imperial Stout and ESB.🍺,James G
50,If You Love Beer,"These folks take beer very seriously. They brew a large variety of styles with major flavor. The staff are friendly and helpful. If you haven't been there in a while, you will be amazed by the number of fermenting tanks there are now. They offer flights of beer so you can taste a variety and decide if you want to take some home.",Thomas L
40,Quantity of Selection,"They had 15 beers on tap plus a handful of bottles when I visited. They had several West Coast style IPAs, plus a reasonable assortment of standard varieties. If they had food, possibly a food truck, this would be the bomb.",William B
50,Love this place - one of the best!,"The beer is great! Nice selection.Staff attitude is very good.Great 4 small parties, bring your own food.Outdoor patio is the bomb! Sunny/warm.Bring a jacket in the afternoon.Ample parking a plus, easy in and out.Uber here before flying - LAX adjacent.",Phil W
50,Great Beer. Very Nice Selection,A must visit if your in the area. I have been to a lot of brewery's and this one is easily in my top five! A very nice variety and great prices. For a place that's only been open for about 3 years the place has managed to muster up a nice following.The place is owned and run by a local mother of 2 daughters hence the name!! Keep up the good work!,antgat15
40,Quick stop after flight,This is very close to the car rentals and to Roscoes. We enjoyed the beer and service. Nice outdoor seating.,tinacris99
50,Awesome beer!,"Just got back into the US, and walked there from a friend's house. The beer was amazing! Really cool chill spot, they have boardgames to play while you drink and talk. Cool place to meet people.",Josh Z
30,Interesting Beers,"Three Weavers makes a wide selection of beers. The day we visited we tried their sampler, and while some were good, none knocked our socks off. They are located in an industrial park, so there is little reason to enjoy the scenery while having a beer or two.",Max G
50,Good brews,Tasty brews and pleasant environment with a better clientele than bars. Traditional picnic table seating encourages and conversation. Close to airport.,po90260
50,Great Craft Beers on Tap or Bottled for Take Out at the Brewery; funded by Kickstarter,We were staying at a motel down the street and wanted a beer to go with the pizza we were taking out from next door. They have tables for those wanting to drink there and a few of their beers in bottles for take out. I told them what was looking for in a beer and was given a sample. It was just right and available in bottles. I told them I didn't have a bottle opener so they sold me a souvenir one for $2. They couldn't open them for me as you can't take open bottles from the brewery.,Lee F
