tag,place,user
"""been""","Troy, NY, USA",12trvlgirl
"""been""","West Point, NY, USA",12trvlgirl
"""been""","Jamaica, NY, USA",12trvlgirl
"""been""","Makgadikgadi Pans National Park, Botswana",12trvlgirl
"""been""","Ulaanbaatar, Mongolia",12trvlgirl
"""been""","Maasai Mara National Reserve, Kenya",12trvlgirl
"""been""","Juneau, AK, USA",12trvlgirl
"""been""","Bangkok, Thailand",12trvlgirl
"""been""","Columbia, SC, USA",12trvlgirl
"""been""","Malibu, CA, USA",12trvlgirl
"""been""","Boston, MA, USA",12trvlgirl
"""been""","Somerville, MA, USA",12trvlgirl
"""been""","Accra, Ghana",12trvlgirl
"""been""","Asheville, NC, USA",12trvlgirl
"""been""","Nairobi, Kenya",12trvlgirl
"""been""","Columbus, OH, USA",12trvlgirl
"""been""","Addis Ababa, Ethiopia",12trvlgirl
"""been""","Brooklyn, NY, USA",12trvlgirl
"""been""","North Redington Beach, FL, USA",12trvlgirl
"""been""","Williamsburg, VA, USA",12trvlgirl
"""been""","Albany, NY, USA",12trvlgirl
"""been""","Black Mountain, NC, USA",12trvlgirl
"""been""","Corolla, NC, USA",12trvlgirl
"""been""","Fayetteville, NC, USA",12trvlgirl
"""been""","St. Petersburg, FL, USA",12trvlgirl
"""been""","Seoul, South Korea",12trvlgirl
"""been""","East Elmhurst, NY, USA",12trvlgirl
"""been""","Ravenna, Italy",12trvlgirl
"""been""","Cape Coast, Ghana",12trvlgirl
"""been""","Elmina, Ghana",12trvlgirl
"""been""","Charlottesville, VA, USA",12trvlgirl
"""been""","North Wales, PA, USA",12trvlgirl
"""been""","Winston Salem, NC, USA",12trvlgirl
"""been""","Galax, VA, USA",12trvlgirl
"""been""","Sitka, AK, USA",12trvlgirl
"""been""","Cape Town Central, South Africa",12trvlgirl
"""been""","Istanbul, Turkey",12trvlgirl
"""been""","New York City, NY, USA",12trvlgirl
"""been""","Lynchburg, VA, USA",12trvlgirl
"""been""","Kempton Park, South Africa",12trvlgirl
"""been""","Duck, NC, USA",12trvlgirl
"""been""","North Charleston, SC, USA",12trvlgirl
"""been""","Chobe National Park, Botswana",12trvlgirl
"""been""","Santa Monica, CA, USA",12trvlgirl
"""been""","Port Wentworth, GA, USA",12trvlgirl
"""been""","Savannah, GA, USA",12trvlgirl
"""been""","Alexandria, VA, USA",12trvlgirl
"""been""","Dubai, United Arab Emirates",12trvlgirl
"""been""","Tysons Corner, VA, USA",12trvlgirl
"""been""","SeaTac, WA, USA",12trvlgirl
"""been""","Auburn, AL, USA",12trvlgirl
"""been""","Key West, FL, USA",12trvlgirl
"""been""","Richmond, VA, USA",12trvlgirl
