tag,place,user
"""want""","Santiago, Chile",16kays
"""been""","Dallas, TX, USA",16kays
"""been""","Vilamoura, Portugal",16kays
"""been"",""want""","Harrogate, UK",16kays
"""want""","Sydney, Australia",16kays
"""want""","Tavira, Portugal",16kays
"""want""","Bucerias, Mexico",16kays
"""want""","Calella, Spain",16kays
"""been""","Corfu Town, Greece",16kays
"""want""","Brisbane, Australia",16kays
"""want""","Hammamet, Tunisia",16kays
"""want""","Ubud, Indonesia",16kays
"""want""","Sanur, Indonesia",16kays
"""want""","Xpu-Ha, Mexico",16kays
"""want""","Mykonos Town, Greece",16kays
"""want""","Alacati, Turkey",16kays
"""want""","Bandung, Indonesia",16kays
"""want""","New Delhi, India",16kays
"""want""","Prague, Czech Republic",16kays
"""want""","Denarau Island, Fiji",16kays
"""want""","Kapalua, HI, USA",16kays
"""want""","Sliema, Malta",16kays
"""been""","Lagos, Portugal",16kays
"""been""","Faro, Portugal",16kays
"""want""","Carvoeiro, Portugal",16kays
"""been""","Albufeira, Portugal",16kays
"""been""","Milton Keynes, UK",16kays
"""want""","Malcesine, Italy",16kays
"""want""","Cayo Largo, Cuba",16kays
"""want""","Thessaloniki, Greece",16kays
"""want""","Kiotari, Greece",16kays
"""want""","Hisaronu, Turkey",16kays
"""want""","Icmeler, Turkey",16kays
"""want""","Provincetown, MA, USA",16kays
"""want""","Rawai, Thailand",16kays
"""been""","Springfield, MO, USA",16kays
"""want""","Nuevo Vallarta, Mexico",16kays
"""want""","Tulsa, OK, USA",16kays
"""want""","Montevideo, Uruguay",16kays
"""want""","Harrisburg, PA, USA",16kays
"""want""","Corolla, NC, USA",16kays
"""been""","Versailles, France",16kays
"""want""","Cairo, Egypt",16kays
"""been""","Southampton, UK",16kays
"""been""","Paris, France",16kays
"""want""","Lyon, France",16kays
"""want""","Zurich, Switzerland",16kays
"""been""","Portsmouth, UK",16kays
"""want""","Chamonix, France",16kays
"""been""","Amsterdam, The Netherlands",16kays
"""been""","Costa Adeje, Spain",16kays
"""want""","Annecy, France",16kays
"""want""","Salzburg, Austria",16kays
"""want""","Alanya, Turkey",16kays
"""want""","Kas, Turkey",16kays
"""want""","Curitiba, Brazil",16kays
"""want""","Levanto, Italy",16kays
"""want""","Dubai, United Arab Emirates",16kays
"""want""","Side, Turkey",16kays
"""want""","Candolim, India",16kays
"""want""","Gdansk, Poland",16kays
"""want""","Riga, Latvia",16kays
"""want""","Montauk, NY, USA",16kays
"""want""","Hong Kong, China",16kays
"""want""","Sigatoka, Fiji",16kays
"""want""","Zagreb, Croatia",16kays
"""been""","Corfu, Greece",16kays
"""been""","Marne-la-Vallee, France",16kays
"""want""","Palm Desert, CA, USA",16kays
"""want""","Palm Springs, CA, USA",16kays
"""want""","Peniscola, Spain",16kays
"""want""","Ischia, Italy",16kays
"""want""","Edgartown, MA, USA",16kays
"""want""","Forio, Italy",16kays
"""want""","Cannon Beach, OR, USA",16kays
"""want""","Lake Geneva, WI, USA",16kays
"""want""","Kathmandu, Nepal",16kays
"""been""","Newcastle upon Tyne, UK",16kays
"""want""","Copenhagen, Denmark",16kays
"""want""","Santander, Spain",16kays
"""want""","Saint-Tropez, France",16kays
"""been""","Puerto de la Cruz, Spain",16kays
"""want""","Tigaki, Greece",16kays
"""want""","Kata Beach, Thailand",16kays
"""want""","Oklahoma City, OK, USA",16kays
"""want""","Reims, France",16kays
"""want""","Hobart, Australia",16kays
"""want""","Girona, Spain",16kays
"""want""","Barcelona, Spain",16kays
"""want""","Marseille, France",16kays
"""want""","Monte-Carlo, Monaco",16kays
"""want""","Salamanca, Spain",16kays
"""want""","Saint-Malo, France",16kays
"""want""","Plymouth, UK",16kays
"""want""","Tanjung Benoa, Indonesia",16kays
"""been""","Palma de Mallorca, Spain",16kays
"""want""","Ogunquit, ME, USA",16kays
"""been""","Peguera, Spain",16kays
"""want""","Lindos, Greece",16kays
"""been"",""want""","Ibiza, Spain",16kays
"""want""","Camden, ME, USA",16kays
"""been""","Palmanova, Spain",16kays
"""been""","Magaluf, Spain",16kays
"""want""","Manacor, Spain",16kays
"""want""","Wailea, HI, USA",16kays
"""want""","Heraklion, Greece",16kays
"""want""","Elounda, Greece",16kays
"""want""","Nice, France",16kays
"""want""","Carolina Beach, NC, USA",16kays
"""want""","Cayo Santa Maria, Cuba",16kays
"""been""","Las Palmas de Gran Canaria, Spain",16kays
"""want""","Port Douglas, Australia",16kays
"""want""","Trapani, Italy",16kays
"""want""","Taichung, Taiwan",16kays
"""want""","Khao Lak, Thailand",16kays
"""want""","Yomitan-son, Japan",16kays
"""want""","Indianapolis, IN, USA",16kays
"""want""","Istanbul, Turkey",16kays
"""want""","Newport, OR, USA",16kays
"""want""","Agadir, Morocco",16kays
"""want""","Newquay, UK",16kays
"""want""","La Rochelle, France",16kays
"""been""","Chester, UK",16kays
"""want""","Auckland, New Zealand",16kays
"""want""","Hilo, HI, USA",16kays
"""been""","Nottingham, UK",16kays
"""want""","Erie, PA, USA",16kays
"""been""","Torremolinos, Spain",16kays
"""want""","Auckland Central, New Zealand",16kays
"""want""","Belfast, UK",16kays
"""want""","Seminyak, Indonesia",16kays
"""want""","Perth, Australia",16kays
"""want""","Melbourne, Australia",16kays
"""want""","Ca'n Picafort, Spain",16kays
"""want""","Virginia Beach, VA, USA",16kays
"""want""","Cala Millor, Spain",16kays
"""want""","Cala Ratjada, Spain",16kays
"""want""","Kingston, Ontario, Canada",16kays
"""want""","Mojacar, Spain",16kays
"""want""","Macau, China",16kays
"""want""","Santa Maria, Cape Verde",16kays
"""want""","Davenport, FL, USA",16kays
"""want""","Antibes, France",16kays
"""want""","Niagara-on-the-Lake, Ontario, Canada",16kays
"""want""","Ghent, Belgium",16kays
"""want""","San Sebastian - Donostia, Spain",16kays
"""want""","Bend, OR, USA",16kays
"""been""","Llandudno, UK",16kays
"""want""","Gijon, Spain",16kays
"""been""","Mijas, Spain",16kays
"""want""","Almeria, Spain",16kays
"""want""","Munich, Germany",16kays
"""been""","Liverpool, UK",16kays
"""want""","Kandy, Sri Lanka",16kays
"""been""","London, UK",16kays
"""want""","Mecca, Saudi Arabia",16kays
"""been""","Ayr, UK",16kays
"""been""","Blackpool, UK",16kays
"""been""","Durham, UK",16kays
"""been""","Leicester, UK",16kays
"""want""","Naples, Italy",16kays
"""want""","Capri, Italy",16kays
"""want""","Amalfi, Italy",16kays
"""been""","Windermere, UK",16kays
"""want""","South Lake Tahoe, CA, USA",16kays
"""want""","Oia, Greece",16kays
"""been""","Malaga, Spain",16kays
"""want""","Ixtapa, Mexico",16kays
"""been""","Marbella, Spain",16kays
"""been""","Calahonda, Spain",16kays
"""been""","Northampton, UK",16kays
"""want""","Wrightsville Beach, NC, USA",16kays
"""been""","Brussels, Belgium",16kays
"""been""","Barrow-in-Furness, UK",16kays
"""been""","York, UK",16kays
"""want""","Pesaro, Italy",16kays
"""want""","Stockholm, Sweden",16kays
"""want""","Cordoba, Spain",16kays
"""been""","Cardiff, UK",16kays
"""want""","Rome, Italy",16kays
"""been"",""want""","Ibiza Town, Spain",16kays
"""want""","Mellieha, Malta",16kays
"""want""","Skala, Greece",16kays
"""want""","West Bay, Honduras",16kays
"""want""","Calpe, Spain",16kays
"""want""","Santa Barbara, CA, USA",16kays
"""want""","Santa Cruz, CA, USA",16kays
"""been""","Benidorm, Spain",16kays
"""want""","St. John's, Newfoundland and Labrador, Canada",16kays
"""been""","San Agustin, Spain",16kays
"""want""","Hakodate, Japan",16kays
"""want""","Weymouth, UK",16kays
"""want""","Valras-Plage, France",16kays
"""been""","Santa Ponsa, Spain",16kays
"""want""","Fethiye, Turkey",16kays
"""want""","Jesolo, Italy",16kays
"""want""","Porto-Vecchio, France",16kays
"""want""","Santa Monica, CA, USA",16kays
"""been""","Clearwater, FL, USA",16kays
"""want""","Santa Rosa, CA, USA",16kays
"""want""","Hue, Vietnam",16kays
"""want""","Hanoi, Vietnam",16kays
"""want""","Bophut, Thailand",16kays
"""want""","Durango, CO, USA",16kays
