tag,place,user
"""been""","Wawona, CA, USA",201CraigS
"""been""","Wellsburg, WV, USA",201CraigS
"""been""","St. Helena, CA, USA",201CraigS
"""been""","Toppenish, WA, USA",201CraigS
"""been""","Weed, CA, USA",201CraigS
"""been""","Salinas, CA, USA",201CraigS
"""been""","San Bernardino, CA, USA",201CraigS
"""been""","Pointe Michel, Dominica",201CraigS
"""been""","Weott, CA, USA",201CraigS
"""been""","San Anselmo, CA, USA",201CraigS
"""been""","Hicksville, NY, USA",201CraigS
"""been""","Ledgewood, NJ, USA",201CraigS
"""been""","Hounslow, UK",201CraigS
"""been""","Cortez, CO, USA",201CraigS
"""been""","Kalispell, MT, USA",201CraigS
"""been""","Tuxedo Park, NY, USA",201CraigS
"""been""","West Covina, CA, USA",201CraigS
"""been""","Sequoia and Kings Canyon National Park, CA, USA",201CraigS
"""been""","San Clemente, CA, USA",201CraigS
"""been""","Romaldkirk, UK",201CraigS
"""been""","San Bruno, CA, USA",201CraigS
"""been""","West Hollywood, CA, USA",201CraigS
"""been""","Capitola, CA, USA",201CraigS
"""been""","Tacoma, WA, USA",201CraigS
"""been""","San Fernando, CA, USA",201CraigS
"""been""","West Sacramento, CA, USA",201CraigS
"""been""","Dubuque, IA, USA",201CraigS
"""been""","Waterloo, IN, USA",201CraigS
"""been""","Westley, CA, USA",201CraigS
"""been""","Hensonville, NY, USA",201CraigS
"""been""","Independence, MO, USA",201CraigS
"""been""","Boonton, NJ, USA",201CraigS
"""been""","Tivoli, NY, USA",201CraigS
"""been""","Troy, NY, USA",201CraigS
"""been""","Carlsbad, CA, USA",201CraigS
"""been""","Carmel, CA, USA",201CraigS
"""been""","Boulder City, NV, USA",201CraigS
"""been""","Dyersville, IA, USA",201CraigS
"""been""","San Leandro, CA, USA",201CraigS
"""been""","San Juan Capistrano, CA, USA",201CraigS
"""been""","Carmel Valley, CA, USA",201CraigS
"""been""","San Juan Bautista, CA, USA",201CraigS
"""been""","San Jose, CA, USA",201CraigS
"""been""","Olympic National Park, WA, USA",201CraigS
"""been""","San Luis Obispo, CA, USA",201CraigS
"""been""","San Lucas, CA, USA",201CraigS
"""been""","Lassen Volcanic National Park, CA, USA",201CraigS
