tag,place,user
"""been""","Durango, CO, USA",206hansw
"""been""","Newport Beach, CA, USA",206hansw
"""been""","Green River, UT, USA",206hansw
"""been""","Fruita, CO, USA",206hansw
"""been""","Laguna Beach, CA, USA",206hansw
"""been""","June Lake, CA, USA",206hansw
"""been""","Mackinac Island, MI, USA",206hansw
"""been""","Lakewood, CO, USA",206hansw
"""been""","Haleakala National Park, HI, USA",206hansw
"""been""","Rancho Palos Verdes, CA, USA",206hansw
"""been""","Mentone, CA, USA",206hansw
"""been""","Chelsea, MI, USA",206hansw
"""been""","Helena, MT, USA",206hansw
"""been""","Denver, CO, USA",206hansw
"""been""","Whittier, CA, USA",206hansw
"""been""","La Jolla, CA, USA",206hansw
"""been""","Monument Valley, UT, USA",206hansw
"""been""","Detroit, MI, USA",206hansw
"""been""","Riverside, CA, USA",206hansw
"""been""","Northport, MI, USA",206hansw
"""been""","Dearborn, MI, USA",206hansw
"""been""","Boulder, UT, USA",206hansw
"""been""","Empire, MI, USA",206hansw
"""been""","Kahului, HI, USA",206hansw
"""been""","Chinle, AZ, USA",206hansw
"""been""","Sedona, AZ, USA",206hansw
"""been""","Hana, HI, USA",206hansw
"""been""","Cripple Creek, CO, USA",206hansw
"""been""","Paia, HI, USA",206hansw
"""been""","South Lake Tahoe, CA, USA",206hansw
"""been""","Lahaina, HI, USA",206hansw
"""been""","Manitou Springs, CO, USA",206hansw
"""been""","Chino, CA, USA",206hansw
"""been""","Zion National Park, UT, USA",206hansw
"""been""","Yosemite National Park, CA, USA",206hansw
"""been""","Mammoth Lakes, CA, USA",206hansw
"""been""","Niagara-on-the-Lake, Ontario, Canada",206hansw
"""been""","Niagara Falls, Ontario, Canada",206hansw
"""been""","Wailuku, HI, USA",206hansw
"""been""","Carlsbad, CA, USA",206hansw
"""been""","Canon City, CO, USA",206hansw
"""been""","Colorado Springs, CO, USA",206hansw
"""been""","Georgetown, CO, USA",206hansw
"""been""","Traverse City, MI, USA",206hansw
"""been""","Moab, UT, USA",206hansw
"""been""","Redlands, CA, USA",206hansw
"""been""","Silverton, CO, USA",206hansw
"""been""","Leland, MI, USA",206hansw
"""been""","Idyllwild, CA, USA",206hansw
"""been""","Stratford, Ontario, Canada",206hansw
