tag,place,user
"""been""","Lahaina, HI, USA",212naderh
"""been""","Vallejo, CA, USA",212naderh
"""been""","Discovery Bay, CA, USA",212naderh
"""been""","Niagara Falls, Ontario, Canada",212naderh
"""been""","Bear Valley, CA, USA",212naderh
"""been""","Laguna Beach, CA, USA",212naderh
"""been""","Wailuku, HI, USA",212naderh
"""been""","Paia, HI, USA",212naderh
"""been""","Pebble Beach, CA, USA",212naderh
"""been""","Brentwood, CA, USA",212naderh
"""been""","Ontario, CA, USA",212naderh
"""been""","Long Beach, CA, USA",212naderh
"""been""","Wauwatosa, WI, USA",212naderh
"""been""","Milwaukee, WI, USA",212naderh
"""been""","Hana, HI, USA",212naderh
"""been""","Kahului, HI, USA",212naderh
"""been""","San Diego, CA, USA",212naderh
"""want""","Giethoorn, The Netherlands",212naderh
"""been""","Concord, CA, USA",212naderh
"""been""","Ka'anapali, HI, USA",212naderh
"""been""","Brookfield, WI, USA",212naderh
"""been""","Los Angeles, CA, USA",212naderh
"""been""","La Jolla, CA, USA",212naderh
"""been""","Livermore, CA, USA",212naderh
"""been""","Punta Cana, Dominican Republic",212naderh
"""been""","Monterey, CA, USA",212naderh
"""been""","Brighton, MI, USA",212naderh
"""been""","Uvero Alto, Dominican Republic",212naderh
"""been""","Paris, France",212naderh
"""been""","Cleveland, OH, USA",212naderh
"""been""","Carlsbad, CA, USA",212naderh
"""been""","Carmel, CA, USA",212naderh
