tag,place,user
"""been""","Saint James, MO, USA",242ashleyb
"""been""","Imperial, MO, USA",242ashleyb
"""want""","Granada, Spain",242ashleyb
"""been""","Pensacola, FL, USA",242ashleyb
"""want""","Berlin, Germany",242ashleyb
"""been"",""fave""","Playa Mujeres, Mexico",242ashleyb
"""been""","Osage Beach, MO, USA",242ashleyb
"""want""","Santiago, Chile",242ashleyb
"""been""","Las Vegas, NV, USA",242ashleyb
"""want""","Portland, OR, USA",242ashleyb
"""been""","Miami Beach, FL, USA",242ashleyb
"""been""","Miami, FL, USA",242ashleyb
"""want""","San Antonio, TX, USA",242ashleyb
"""been""","Mazatlan, Mexico",242ashleyb
"""want""","Melbourne, Australia",242ashleyb
"""been""","Puerto Vallarta, Mexico",242ashleyb
"""been""","Chicago, IL, USA",242ashleyb
"""been""","Montego Bay, Jamaica",242ashleyb
"""been""","Longboat Key, FL, USA",242ashleyb
"""been""","Louisville, KY, USA",242ashleyb
"""want""","Austin, TX, USA",242ashleyb
"""been"",""fave""","Grand Turk, Turks and Caicos",242ashleyb
"""want""","Niagara Falls, Ontario, Canada",242ashleyb
"""been"",""fave""","Los Angeles, CA, USA",242ashleyb
"""been""","Keystone, CO, USA",242ashleyb
"""been""","Tampa, FL, USA",242ashleyb
"""been""","Jefferson City, MO, USA",242ashleyb
"""want""","Buenos Aires, Argentina",242ashleyb
"""been""","Potosi, MO, USA",242ashleyb
"""want""","Frankfurt, Germany",242ashleyb
"""been""","Farmington, MO, USA",242ashleyb
"""been""","San Francisco, CA, USA",242ashleyb
"""been""","Fulton, MO, USA",242ashleyb
"""been""","Philadelphia, PA, USA",242ashleyb
"""been""","St. Pete Beach, FL, USA",242ashleyb
"""been""","Jacksonville Beach, FL, USA",242ashleyb
"""want""","London, UK",242ashleyb
"""been""","St. Petersburg, FL, USA",242ashleyb
"""been""","Brooklyn, NY, USA",242ashleyb
"""been""","San Juan, Puerto Rico",242ashleyb
"""been""","King of Prussia, PA, USA",242ashleyb
"""want""","Puerto Del Carmen, Spain",242ashleyb
"""been""","Daytona Beach, FL, USA",242ashleyb
"""been""","Pevely, MO, USA",242ashleyb
"""want""","Paris, France",242ashleyb
"""been""","Aspen, CO, USA",242ashleyb
"""want""","New Orleans, LA, USA",242ashleyb
"""been""","Aurora, CO, USA",242ashleyb
"""been""","Arnold, MO, USA",242ashleyb
"""been""","Boston, MA, USA",242ashleyb
"""want""","Munich, Germany",242ashleyb
"""been"",""want"",""fave""","Honolulu, HI, USA",242ashleyb
"""been""","Columbia, MO, USA",242ashleyb
"""been""","Kansas City, MO, USA",242ashleyb
"""want""","Puerto Plata, Dominican Republic",242ashleyb
"""been""","Festus, MO, USA",242ashleyb
"""been""","Charlotte, NC, USA",242ashleyb
"""been""","Cabo San Lucas, Mexico",242ashleyb
"""want""","Houston, TX, USA",242ashleyb
"""been""","Kansas City, KS, USA",242ashleyb
"""been""","Indianapolis, IN, USA",242ashleyb
"""been""","Everglades City, FL, USA",242ashleyb
"""want""","Dallas, TX, USA",242ashleyb
"""want""","Rome, Italy",242ashleyb
"""been""","Doe Run, MO, USA",242ashleyb
"""want""","Auckland, New Zealand",242ashleyb
"""been""","West Hollywood, CA, USA",242ashleyb
"""been""","West Cape May, NJ, USA",242ashleyb
"""been""","Murfreesboro, TN, USA",242ashleyb
"""been""","Mexico, MO, USA",242ashleyb
"""been""","Kingdom City, MO, USA",242ashleyb
