tag,place,user
"""been""","Moore, OK, USA",258donnac
"""been""","Lancaster, CA, USA",258donnac
"""been""","Ocho Rios, Jamaica",258donnac
"""been""","Ada, OK, USA",258donnac
"""been""","Adair, OK, USA",258donnac
"""been""","Mobile, AL, USA",258donnac
"""been""","Seminole, OK, USA",258donnac
"""been""","Foyil, OK, USA",258donnac
"""been""","Wailuku, HI, USA",258donnac
"""want""","Anchorage, AK, USA",258donnac
"""been""","Boulder City, NV, USA",258donnac
"""been""","Kissimmee, FL, USA",258donnac
"""been""","Denver, CO, USA",258donnac
"""been""","St. Augustine, FL, USA",258donnac
"""been""","Little Rock, AR, USA",258donnac
"""been""","New York City, NY, USA",258donnac
"""been""","Orlando, FL, USA",258donnac
"""been""","Cape Canaveral, FL, USA",258donnac
"""been""","Miami, OK, USA",258donnac
"""been""","Midwest City, OK, USA",258donnac
"""been""","Prague, OK, USA",258donnac
"""been""","Meers, OK, USA",258donnac
"""been""","Dallas, TX, USA",258donnac
"""been""","Wyandotte, OK, USA",258donnac
"""want""","Salt Lake City, UT, USA",258donnac
"""been""","Houston, TX, USA",258donnac
"""want""","Corpus Christi, TX, USA",258donnac
"""been""","Jacksonville, FL, USA",258donnac
"""been""","Richmond, VA, USA",258donnac
"""been""","Scottsdale, AZ, USA",258donnac
"""been""","Sulphur, OK, USA",258donnac
"""want""","Naples, FL, USA",258donnac
"""been""","Isle of Skye, UK",258donnac
"""been""","Atlanta, GA, USA",258donnac
"""been""","Tifton, GA, USA",258donnac
"""been"",""fave""","Key West, FL, USA",258donnac
"""been""","Satellite Beach, FL, USA",258donnac
"""been""","Palmdale, CA, USA",258donnac
"""been""","Medicine Park, OK, USA",258donnac
"""been""","Palm Springs, CA, USA",258donnac
"""been""","Noble, OK, USA",258donnac
"""been""","Stillwater, OK, USA",258donnac
"""been""","Davis, OK, USA",258donnac
"""been""","Muir of Ord, UK",258donnac
"""been""","Norman, OK, USA",258donnac
"""been""","Arcadia, OK, USA",258donnac
"""been""","Claremore, OK, USA",258donnac
"""been""","Grove, OK, USA",258donnac
"""been""","Nashville, TN, USA",258donnac
"""been""","Chickasha, OK, USA",258donnac
"""want""","Hot Springs, AR, USA",258donnac
"""been""","Beverly Hills, CA, USA",258donnac
"""been""","Santa Barbara, CA, USA",258donnac
"""been""","New Orleans, LA, USA",258donnac
"""been""","Boulder, CO, USA",258donnac
"""been""","Breckenridge, CO, USA",258donnac
"""been""","Raleigh, NC, USA",258donnac
"""been""","Muskogee, OK, USA",258donnac
"""been""","Fort Worth, TX, USA",258donnac
"""been""","Smithville, OK, USA",258donnac
"""been""","Catoosa, OK, USA",258donnac
"""been""","Denton, TX, USA",258donnac
"""been""","Chandler, OK, USA",258donnac
"""been""","Tupelo, MS, USA",258donnac
"""been""","Virginia Beach, VA, USA",258donnac
"""been""","Williamsburg, VA, USA",258donnac
"""been""","Lahaina, HI, USA",258donnac
"""been""","Kahului, HI, USA",258donnac
"""been""","Vail, CO, USA",258donnac
"""been""","Shawnee, OK, USA",258donnac
"""been""","Durant, OK, USA",258donnac
"""been""","Las Vegas, NV, USA",258donnac
"""been""","San Antonio, TX, USA",258donnac
"""been""","Oklahoma City, OK, USA",258donnac
"""been""","San Francisco, CA, USA",258donnac
"""been""","Santa Fe, NM, USA",258donnac
"""been""","Austin, TX, USA",258donnac
"""been""","Pensacola, FL, USA",258donnac
"""been""","Indian Harbour Beach, FL, USA",258donnac
"""been""","Melbourne Beach, FL, USA",258donnac
"""been""","Melbourne, FL, USA",258donnac
"""been""","Indialantic, FL, USA",258donnac
"""been""","Los Angeles, CA, USA",258donnac
"""been""","Miami, FL, USA",258donnac
"""been""","Jasper, AL, USA",258donnac
"""been""","Tampa, FL, USA",258donnac
"""been""","Fort Valley, GA, USA",258donnac
