tag,place,user
"""been""","Tahoe City, CA, USA",287kellys
"""been""","San Simeon, CA, USA",287kellys
"""been""","Rosemead, CA, USA",287kellys
"""been""","Lakeside, OR, USA",287kellys
"""been"",""fave""","Redwood National Park, CA, USA",287kellys
"""been""","Montrose, CA, USA",287kellys
"""been""","Keno, OR, USA",287kellys
"""been""","Kerby, OR, USA",287kellys
"""been""","Klamath Falls, OR, USA",287kellys
"""been""","Riverside, CA, USA",287kellys
"""been""","Williams, AZ, USA",287kellys
"""been""","Monterey, CA, USA",287kellys
"""been""","Cottage Grove, OR, USA",287kellys
"""been""","Ventura, CA, USA",287kellys
"""been""","San Juan Capistrano, CA, USA",287kellys
"""been""","San Jose, CA, USA",287kellys
"""been""","Diamond Bar, CA, USA",287kellys
"""been""","Niceville, FL, USA",287kellys
"""been""","Westminster, CA, USA",287kellys
"""been""","Carmel, CA, USA",287kellys
"""been""","Carlsbad, CA, USA",287kellys
"""been""","Palos Verdes Estates, CA, USA",287kellys
"""been""","Montclair, CA, USA",287kellys
"""been""","Cape Canaveral, FL, USA",287kellys
"""been""","San Luis Obispo, CA, USA",287kellys
"""been""","Whittier, CA, USA",287kellys
"""been""","Zion National Park, UT, USA",287kellys
"""been""","Wedderburn, OR, USA",287kellys
"""been""","Bellevue, WA, USA",287kellys
"""been""","Monrovia, CA, USA",287kellys
"""been""","Waldport, OR, USA",287kellys
"""been""","Missoula, MT, USA",287kellys
"""been""","Rimforest, CA, USA",287kellys
"""been""","Lincoln City, OR, USA",287kellys
"""been""","Palm Springs, CA, USA",287kellys
"""been""","Lake Charles, LA, USA",287kellys
"""been""","Henderson, NV, USA",287kellys
"""been""","Atlanta, GA, USA",287kellys
"""been""","Cocoa Beach, FL, USA",287kellys
"""been""","Blue Lake, CA, USA",287kellys
"""been""","Ladera Ranch, CA, USA",287kellys
"""been""","Blue Jay, CA, USA",287kellys
"""been""","Santa Monica, CA, USA",287kellys
"""been""","Wrightwood, CA, USA",287kellys
"""been""","Lompoc, CA, USA",287kellys
"""been""","Lodi, CA, USA",287kellys
"""been""","Imperial, CA, USA",287kellys
"""been""","Phoenix, AZ, USA",287kellys
"""been""","Sacramento, CA, USA",287kellys
"""been""","Boston, MA, USA",287kellys
"""been""","Custer, SD, USA",287kellys
"""been""","New Orleans, LA, USA",287kellys
"""been""","Temecula, CA, USA",287kellys
"""been""","Santa Barbara, CA, USA",287kellys
"""been""","Beverly Hills, CA, USA",287kellys
"""been""","Running Springs, CA, USA",287kellys
"""been""","Mount Shasta, CA, USA",287kellys
"""been""","Huntington Beach, CA, USA",287kellys
"""been""","Trail, OR, USA",287kellys
"""been""","Santa Cruz, CA, USA",287kellys
"""been""","Santa Clarita, CA, USA",287kellys
"""been""","Jacksonville, OR, USA",287kellys
"""been""","Morro Bay, CA, USA",287kellys
"""been""","Seattle, WA, USA",287kellys
"""been""","Apple Valley, CA, USA",287kellys
"""been"",""fave""","Arcata, CA, USA",287kellys
"""been""","Niagara Falls, Ontario, Canada",287kellys
"""been""","Arcadia, CA, USA",287kellys
"""been""","Tustin, CA, USA",287kellys
"""been""","Newport Beach, CA, USA",287kellys
"""been""","Prospect, OR, USA",287kellys
"""been""","Prineville, OR, USA",287kellys
