tag,place,user
"""been""","Newport Beach, CA, USA",28leighj
"""been""","St. Petersburg, Russia",28leighj
"""been""","Garden Grove, CA, USA",28leighj
"""been""","Canterbury, UK",28leighj
"""been""","South Pasadena, CA, USA",28leighj
"""been""","Laguna Beach, CA, USA",28leighj
"""been""","Anaheim, CA, USA",28leighj
"""been""","Big White, British Columbia, Canada",28leighj
"""been""","La Mirada, CA, USA",28leighj
"""been""","Winter Park, CO, USA",28leighj
"""been""","Fullerton, CA, USA",28leighj
"""been""","Chicago, IL, USA",28leighj
"""been""","Costa Mesa, CA, USA",28leighj
"""been""","Park City, UT, USA",28leighj
"""been"",""fave""","New York City, NY, USA",28leighj
"""been""","Whittier, CA, USA",28leighj
"""been""","Gatlinburg, TN, USA",28leighj
"""been""","Pigeon Forge, TN, USA",28leighj
"""been""","Cape Coral, FL, USA",28leighj
"""been""","Los Angeles, CA, USA",28leighj
"""been""","Telluride, CO, USA",28leighj
"""been""","Trabuco Canyon, CA, USA",28leighj
"""been""","East Molesey, UK",28leighj
"""been""","Pittsburgh, PA, USA",28leighj
"""been""","New Stanton, PA, USA",28leighj
"""been""","Matlacha, FL, USA",28leighj
"""been""","Hackensack, NJ, USA",28leighj
"""been""","Long Beach, CA, USA",28leighj
"""been""","Palm Springs, CA, USA",28leighj
"""been""","London, UK",28leighj
"""been""","Tallinn, Estonia",28leighj
"""been""","San Diego, CA, USA",28leighj
"""been""","Buena Park, CA, USA",28leighj
"""been""","Ridgewood, NJ, USA",28leighj
"""been""","Hendersonville, NC, USA",28leighj
"""been""","River Edge, NJ, USA",28leighj
"""been""","Kelowna, British Columbia, Canada",28leighj
"""been""","Big Sky, MT, USA",28leighj
"""been""","Rome, Italy",28leighj
"""been""","Vatican City, Vatican City",28leighj
"""been""","Pomona, CA, USA",28leighj
"""been""","Las Vegas, NV, USA",28leighj
"""been""","Whitefish, MT, USA",28leighj
"""been""","Peterhof, Russia",28leighj
"""been""","Santa Barbara, CA, USA",28leighj
"""been""","Sierra Madre, CA, USA",28leighj
"""been""","Aspen, CO, USA",28leighj
"""been""","Asheville, NC, USA",28leighj
"""been""","Lake Forest, CA, USA",28leighj
"""been""","Tappan, NY, USA",28leighj
"""been""","Ligonier, PA, USA",28leighj
"""been""","Tryon, NC, USA",28leighj
"""been""","Arcadia, CA, USA",28leighj
"""been""","Orange, CA, USA",28leighj
"""been""","Berlin, Germany",28leighj
