tag,place,user
"""been""","Los Angeles, CA, USA",384stephenj
"""been""","Boston, MA, USA",384stephenj
"""been""","Trenton, ME, USA",384stephenj
"""been""","Cozumel, Mexico",384stephenj
"""been""","Ocho Rios, Jamaica",384stephenj
"""been""","Bangor, ME, USA",384stephenj
"""been""","Southwest Harbor, ME, USA",384stephenj
"""been""","Puerto Plata, Dominican Republic",384stephenj
"""been""","Puerto Morelos, Mexico",384stephenj
"""been""","Sedona, AZ, USA",384stephenj
"""been""","Playa del Carmen, Mexico",384stephenj
"""been""","Punta Cana, Dominican Republic",384stephenj
