tag,place,user
"""been""","West End Village, Anguilla",402roys
"""been""","Montreal, Quebec, Canada",402roys
"""been""","Paris, France",402roys
"""been""","Washington DC, DC, USA",402roys
"""been""","Oyster Pond, St Martin \u002F St Maarten",402roys
"""been""","Palm Springs, CA, USA",402roys
"""been""","New York City, NY, USA",402roys
"""been""","Philadelphia, PA, USA",402roys
"""been""","San Francisco, CA, USA",402roys
"""been""","Boston, MA, USA",402roys
"""been""","Lahaina, HI, USA",402roys
"""been""","Los Angeles, CA, USA",402roys
"""been""","Portland, OR, USA",402roys
"""been""","St Martin \u002F St Maarten, Caribbean",402roys
"""been""","London, UK",402roys
"""been""","Ventura, CA, USA",402roys
"""been""","Blowing Point, Anguilla",402roys
