tag,place,user
"""been""","St. Augustine, FL, USA",425Shane59
"""been""","Maricopa, AZ, USA",425Shane59
"""been""","Portland, OR, USA",425Shane59
"""been""","Seattle, WA, USA",425Shane59
"""been""","Kelowna, British Columbia, Canada",425Shane59
"""been""","Banff, Alberta, Canada",425Shane59
"""been""","Vancouver, British Columbia, Canada",425Shane59
"""been""","Fort Lee, NJ, USA",425Shane59
"""been""","Edmonton, Alberta, Canada",425Shane59
"""been""","Revelstoke, British Columbia, Canada",425Shane59
"""been""","Harrisburg, PA, USA",425Shane59
"""been""","Los Angeles, CA, USA",425Shane59
"""been""","Chase, British Columbia, Canada",425Shane59
"""been""","Miami, FL, USA",425Shane59
