tag,place,user
"""been""","San Diego, CA, USA",469JasonW
"""been""","Las Vegas, NV, USA",469JasonW
"""been""","Boulder City, NV, USA",469JasonW
"""been""","Washington DC, DC, USA",469JasonW
"""been""","New York City, NY, USA",469JasonW
"""been""","Philadelphia, PA, USA",469JasonW
"""been""","New Orleans, LA, USA",469JasonW
"""been""","San Antonio, TX, USA",469JasonW
"""been""","Orlando, FL, USA",469JasonW
"""been""","Miami Beach, FL, USA",469JasonW
"""been""","Kini, Greece",469JasonW
"""been""","Los Angeles, CA, USA",469JasonW
"""been""","Anaheim, CA, USA",469JasonW
