tag,place,user
"""been""","Gatineau, Quebec, Canada",4Doc
"""been""","Fernie, British Columbia, Canada",4Doc
"""been""","Los Angeles, CA, USA",4Doc
"""been""","Red Deer, Alberta, Canada",4Doc
"""been""","Portland, OR, USA",4Doc
"""been""","Radium Hot Springs, British Columbia, Canada",4Doc
"""been""","Collingwood, Ontario, Canada",4Doc
"""been""","Sydney, Australia",4Doc
"""been""","Medicine Hat, Alberta, Canada",4Doc
"""been""","Chicago, IL, USA",4Doc
"""been""","Edmundston, New Brunswick, Canada",4Doc
"""been"",""fave""","Edinburgh, UK",4Doc
"""been"",""fave""","Mykonos Town, Greece",4Doc
"""been""","Cairns, Australia",4Doc
"""been"",""fave""","Brisbane, Australia",4Doc
"""been""","Las Vegas, NV, USA",4Doc
"""been""","Santa Monica, CA, USA",4Doc
"""been""","Clearwater, FL, USA",4Doc
"""been""","Glasgow, UK",4Doc
"""been""","Penticton, British Columbia, Canada",4Doc
"""been""","St. Andrews, UK",4Doc
"""been""","Kamloops, British Columbia, Canada",4Doc
"""been""","Kelowna, British Columbia, Canada",4Doc
"""been""","Cocoa Beach, FL, USA",4Doc
"""been""","Nanaimo, British Columbia, Canada",4Doc
"""been""","Phoenix, AZ, USA",4Doc
"""been""","Surfers Paradise, Australia",4Doc
"""been""","Harrison Hot Springs, British Columbia, Canada",4Doc
"""been"",""fave""","Napa, CA, USA",4Doc
"""been""","Long Beach, CA, USA",4Doc
"""been""","West Yellowstone, MT, USA",4Doc
"""been""","Beverly Hills, CA, USA",4Doc
"""been""","Venice, Italy",4Doc
"""been""","Inverness, UK",4Doc
"""been""","Lunenburg, Nova Scotia, Canada",4Doc
"""been""","Santa Barbara, CA, USA",4Doc
"""been""","Mont Tremblant, Quebec, Canada",4Doc
"""been""","Port Coquitlam, British Columbia, Canada",4Doc
"""been""","Salmon Arm, British Columbia, Canada",4Doc
"""been""","Sacramento, CA, USA",4Doc
"""been""","Revelstoke, British Columbia, Canada",4Doc
"""been""","Rogers Pass, British Columbia, Canada",4Doc
"""been""","Jasper, Alberta, Canada",4Doc
"""been""","Lethbridge, Alberta, Canada",4Doc
"""been""","Nelson, British Columbia, Canada",4Doc
"""been""","Edmonton, Alberta, Canada",4Doc
"""been""","Jasper National Park, Alberta, Canada",4Doc
"""been""","Banff National Park, Alberta, Canada",4Doc
"""been"",""fave""","Bridgetown, Barbados",4Doc
"""been""","Banff, Alberta, Canada",4Doc
"""been""","Field, British Columbia, Canada",4Doc
"""been""","Lake Louise, Alberta, Canada",4Doc
"""been""","Calgary, Alberta, Canada",4Doc
"""been""","Cranbrook, British Columbia, Canada",4Doc
"""been""","Invermere, British Columbia, Canada",4Doc
"""been""","Mazatlan, Mexico",4Doc
"""been""","Golden, British Columbia, Canada",4Doc
"""been""","Marseille, France",4Doc
"""been""","Naxos, Greece",4Doc
"""been""","Fort Myers, FL, USA",4Doc
"""been""","Barcelona, Spain",4Doc
"""been""","Fort Myers Beach, FL, USA",4Doc
"""been""","Kissimmee, FL, USA",4Doc
"""been""","Santorini, Greece",4Doc
"""been""","Long Island City, NY, USA",4Doc
"""been""","Cape Canaveral, FL, USA",4Doc
"""been""","Caracas, Venezuela",4Doc
"""been""","Denver, CO, USA",4Doc
"""been""","Monterey, CA, USA",4Doc
"""been""","Thunder Bay, Ontario, Canada",4Doc
"""been""","Pasadena, CA, USA",4Doc
"""been""","Sudbury, Ontario, Canada",4Doc
"""been""","Toronto, Ontario, Canada",4Doc
"""been""","St. John's, Newfoundland and Labrador, Canada",4Doc
"""been""","Sault Ste. Marie, Ontario, Canada",4Doc
"""been""","Saint John, New Brunswick, Canada",4Doc
"""been""","Coquitlam, British Columbia, Canada",4Doc
"""been""","Platys Gialos, Greece",4Doc
"""been""","Salt Lake City, UT, USA",4Doc
"""been""","North Vancouver, British Columbia, Canada",4Doc
"""been""","Richmond, British Columbia, Canada",4Doc
"""been""","West Hollywood, CA, USA",4Doc
"""been"",""fave""","Paris, France",4Doc
"""been"",""fave""","Jackson, WY, USA",4Doc
"""been""","Fort Lauderdale, FL, USA",4Doc
"""been"",""fave""","Halifax, Nova Scotia, Canada",4Doc
"""been""","Palm Springs, CA, USA",4Doc
"""been""","Nashville, TN, USA",4Doc
"""been""","Sydney, Nova Scotia, Canada",4Doc
"""been""","Osoyoos, British Columbia, Canada",4Doc
"""been""","Summerside, Prince Edward Island, Canada",4Doc
"""been""","Charlottetown, Prince Edward Island, Canada",4Doc
"""been""","Markham, Ontario, Canada",4Doc
"""been""","Antigonish, Nova Scotia, Canada",4Doc
"""been""","Abbotsford, British Columbia, Canada",4Doc
"""been""","Canmore, Alberta, Canada",4Doc
"""been""","Treasure Island, FL, USA",4Doc
"""been"",""fave""","Whistler, British Columbia, Canada",4Doc
"""been""","Vancouver, British Columbia, Canada",4Doc
"""been""","Colorado Springs, CO, USA",4Doc
"""been""","Victoria, British Columbia, Canada",4Doc
"""been""","Vernon, British Columbia, Canada",4Doc
"""been""","Brooklyn, NY, USA",4Doc
"""been""","Katowice, Poland",4Doc
"""been""","Grand Canyon National Park, AZ, USA",4Doc
"""been""","Blue Mountains, Ontario, Canada",4Doc
"""been""","Byron Bay, Australia",4Doc
"""been""","Moncton, New Brunswick, Canada",4Doc
"""been""","Wawa, Ontario, Canada",4Doc
"""been""","Winnipeg, Manitoba, Canada",4Doc
"""been""","Fredericton, New Brunswick, Canada",4Doc
"""been""","Spokane, WA, USA",4Doc
"""been""","Oakville, Ontario, Canada",4Doc
"""been""","Ottawa, Ontario, Canada",4Doc
"""been""","San Francisco, CA, USA",4Doc
"""been""","Salem, MA, USA",4Doc
"""been""","Kenora, Ontario, Canada",4Doc
"""been""","Oxford, UK",4Doc
"""been""","Runaway Bay, Jamaica",4Doc
"""been""","Avignon, France",4Doc
"""been""","Ocho Rios, Jamaica",4Doc
"""been""","Frankfurt, Germany",4Doc
"""been""","Montego Bay, Jamaica",4Doc
"""been""","Tampa, FL, USA",4Doc
"""been""","Aberdeen, UK",4Doc
"""been""","Gibsons, British Columbia, Canada",4Doc
"""been""","Miami, FL, USA",4Doc
"""been""","Miami Beach, FL, USA",4Doc
"""been""","Moab, UT, USA",4Doc
"""been"",""fave""","Perth, Australia",4Doc
"""been""","Duluth, MN, USA",4Doc
"""been""","Bath, UK",4Doc
"""been""","Anaheim, CA, USA",4Doc
"""been"",""fave""","Athens, Greece",4Doc
"""been""","Niagara Falls, NY, USA",4Doc
