tag,place,user
"""been""","Avalon, CA, USA",545sandras
"""been""","New Haven, CT, USA",545sandras
"""been""","Tucson, AZ, USA",545sandras
"""been""","Paris, France",545sandras
"""been"",""want""","Washington DC, DC, USA",545sandras
"""been""","Norfolk, VA, USA",545sandras
"""been""","Beverly Hills, CA, USA",545sandras
"""been""","Baltimore, MD, USA",545sandras
"""been""","Rome, Italy",545sandras
"""been""","Hartford, CT, USA",545sandras
"""been""","Christiansted, U.S. Virgin Islands",545sandras
"""been""","Orlando, FL, USA",545sandras
"""been"",""want""","Miami, FL, USA",545sandras
"""want""","Cape Coral, FL, USA",545sandras
"""been"",""want""","Los Angeles, CA, USA",545sandras
"""been""","East Hartford, CT, USA",545sandras
