tag,place,user
"""been""","Nashville, TN, USA",600shyams
"""been""","Sequim, WA, USA",600shyams
"""been""","Snoqualmie, WA, USA",600shyams
"""been""","Los Angeles, CA, USA",600shyams
"""been""","Monroe, WA, USA",600shyams
"""been""","Artesia, CA, USA",600shyams
"""been""","St. Helena, CA, USA",600shyams
"""been""","Tustin, CA, USA",600shyams
"""been""","Port Townsend, WA, USA",600shyams
"""been""","Lynnwood, WA, USA",600shyams
"""been""","Sunnyvale, CA, USA",600shyams
"""been""","Irvine, CA, USA",600shyams
"""been""","Lake Forest, CA, USA",600shyams
"""been""","South San Francisco, CA, USA",600shyams
"""been""","Bellevue, WA, USA",600shyams
"""been""","Redmond, WA, USA",600shyams
"""been""","San Francisco, CA, USA",600shyams
"""been""","Seattle, WA, USA",600shyams
"""been""","Beverly Hills, CA, USA",600shyams
"""been""","Portland, OR, USA",600shyams
"""been""","San Jose, CA, USA",600shyams
