tag,place,user
"""been""","San Francisco, CA, USA",608beverleyb
"""been""","Creaton, UK",608beverleyb
"""been""","Tortworth, UK",608beverleyb
"""been""","Chaddesley Corbett, UK",608beverleyb
"""been""","Stourbridge, UK",608beverleyb
"""been""","Monte-Carlo, Monaco",608beverleyb
"""been""","Bewdley, UK",608beverleyb
"""been""","Chippenham, UK",608beverleyb
"""been""","Dubai, United Arab Emirates",608beverleyb
"""been""","Tavistock, UK",608beverleyb
"""been""","Worcester, UK",608beverleyb
"""been""","Paignton, UK",608beverleyb
"""been""","Northampton, UK",608beverleyb
"""been""","Cala'n Porter, Spain",608beverleyb
"""been""","Nice, France",608beverleyb
"""been""","Wolverhampton, UK",608beverleyb
"""been""","New York City, NY, USA",608beverleyb
"""been""","Las Vegas, NV, USA",608beverleyb
"""been""","Mahon, Spain",608beverleyb
"""been""","Oulton, UK",608beverleyb
"""been""","Old Sodbury, UK",608beverleyb
"""been""","Bristol, UK",608beverleyb
"""been""","Toronto, Ontario, Canada",608beverleyb
"""been""","Beverly Hills, CA, USA",608beverleyb
"""been""","Kavos, Greece",608beverleyb
"""been""","Wall Heath, UK",608beverleyb
"""been""","London, UK",608beverleyb
"""been""","Exeter, UK",608beverleyb
"""been""","Manchester, UK",608beverleyb
"""been""","Ciutadella, Spain",608beverleyb
"""been""","Paris, France",608beverleyb
"""been""","Konstanz, Germany",608beverleyb
"""been""","Washington DC, DC, USA",608beverleyb
"""been""","Windsor, UK",608beverleyb
"""been""","Chulmleigh, UK",608beverleyb
"""been""","Penrhyndeudraeth, UK",608beverleyb
"""been""","Olympic Valley, CA, USA",608beverleyb
"""been""","Playa de las Americas, Spain",608beverleyb
"""been""","Windermere, UK",608beverleyb
"""been""","Cannes, France",608beverleyb
"""been""","Sorrento, Italy",608beverleyb
"""been""","Preston, UK",608beverleyb
"""been""","Tetbury, UK",608beverleyb
"""been""","Hagley, UK",608beverleyb
"""been""","Bath, UK",608beverleyb
"""been""","Shrewsbury, UK",608beverleyb
"""been""","Birmingham, UK",608beverleyb
"""been""","Coventry, UK",608beverleyb
"""been""","Edinburgh, UK",608beverleyb
"""been""","Barcelona, Spain",608beverleyb
"""been""","Bilbao, Spain",608beverleyb
"""been""","Newark, NJ, USA",608beverleyb
"""been""","Dublin, Ireland",608beverleyb
"""been""","Warminster, UK",608beverleyb
"""been""","Bradford-on-Avon, UK",608beverleyb
"""been""","Los Angeles, CA, USA",608beverleyb
"""been""","Orlando, FL, USA",608beverleyb
"""been""","Hamburg, Germany",608beverleyb
"""been""","Stuttgart, Germany",608beverleyb
"""been""","Wembley, UK",608beverleyb
"""been""","Cambridge, MA, USA",608beverleyb
"""been""","Henderson, NV, USA",608beverleyb
"""been""","Taunton, UK",608beverleyb
"""been""","Canterbury, UK",608beverleyb
"""been""","Berlin, Germany",608beverleyb
"""been""","Mojacar, Spain",608beverleyb
"""been""","Grand Canyon National Park, AZ, USA",608beverleyb
"""been""","Holt, UK",608beverleyb
