tag,place,user
"""been""","Dahlonega, GA, USA",631katrinag
"""been""","Clewiston, FL, USA",631katrinag
"""been""","Vero Beach, FL, USA",631katrinag
"""been""","New Orleans, LA, USA",631katrinag
"""been""","Fort White, FL, USA",631katrinag
"""been""","Channel Islands National Park, CA, USA",631katrinag
"""been""","Southaven, MS, USA",631katrinag
"""been""","Santa Monica, CA, USA",631katrinag
"""been""","Blue Ash, OH, USA",631katrinag
"""been""","Memphis, TN, USA",631katrinag
"""been""","Stone Mountain, GA, USA",631katrinag
