tag,place,user
"""been""","Clearwater, FL, USA",662brittanyc
"""been""","Santa Monica, CA, USA",662brittanyc
"""been""","Virginia Beach, VA, USA",662brittanyc
"""been""","Santa Rosa, CA, USA",662brittanyc
"""been""","Cocoa Beach, FL, USA",662brittanyc
"""been""","Sacramento, CA, USA",662brittanyc
"""been""","Boston, MA, USA",662brittanyc
"""want""","New Orleans, LA, USA",662brittanyc
"""been""","Las Vegas, NV, USA",662brittanyc
"""been""","Atlantic City, NJ, USA",662brittanyc
"""been""","Beverly Hills, CA, USA",662brittanyc
"""been""","Daytona Beach, FL, USA",662brittanyc
"""been""","Bakersfield, CA, USA",662brittanyc
"""been""","West Palm Beach, FL, USA",662brittanyc
"""been""","Treasure Island, FL, USA",662brittanyc
"""been""","Portland, OR, USA",662brittanyc
"""been""","Colorado Springs, CO, USA",662brittanyc
"""been""","Kingman, AZ, USA",662brittanyc
"""been""","Santa Fe, NM, USA",662brittanyc
"""been""","San Francisco, CA, USA",662brittanyc
"""been""","Seattle, WA, USA",662brittanyc
"""been""","Aspen, CO, USA",662brittanyc
"""been""","Washington DC, DC, USA",662brittanyc
"""been""","Belen, NM, USA",662brittanyc
"""been""","Anaheim, CA, USA",662brittanyc
"""been""","Vail, CO, USA",662brittanyc
"""been""","Clearlake, CA, USA",662brittanyc
"""been""","Jacksonville, FL, USA",662brittanyc
"""been""","Oceano, CA, USA",662brittanyc
"""been""","Las Cruces, NM, USA",662brittanyc
"""been""","Los Angeles, CA, USA",662brittanyc
"""been""","La Jolla, CA, USA",662brittanyc
"""been""","Tampa, FL, USA",662brittanyc
"""been""","Sonoma, CA, USA",662brittanyc
"""been""","Miami Beach, FL, USA",662brittanyc
"""been""","Orlando, FL, USA",662brittanyc
"""been""","Miami, FL, USA",662brittanyc
"""been""","New York City, NY, USA",662brittanyc
"""been""","Santa Rosa, NM, USA",662brittanyc
"""been""","Denver, CO, USA",662brittanyc
"""been""","Fort Walton Beach, FL, USA",662brittanyc
"""been""","San Luis Obispo, CA, USA",662brittanyc
"""been""","Pismo Beach, CA, USA",662brittanyc
"""been""","Ouray, CO, USA",662brittanyc
"""been""","Pensacola, FL, USA",662brittanyc
"""been""","Kissimmee, FL, USA",662brittanyc
"""been""","Los Lunas, NM, USA",662brittanyc
"""been""","Albuquerque, NM, USA",662brittanyc
"""been""","Napa, CA, USA",662brittanyc
"""been""","East Palo Alto, CA, USA",662brittanyc
"""been""","Los Alamos, NM, USA",662brittanyc
"""been""","Flagstaff, AZ, USA",662brittanyc
