tag,place,user
"""been""","Albury, Australia",663craigh
"""been""","Newcastle, Australia",663craigh
"""been""","Woy Woy, Australia",663craigh
"""been""","Melbourne, Australia",663craigh
"""been""","Parramatta, Australia",663craigh
"""been""","Hornsby, Australia",663craigh
"""been""","Yass, Australia",663craigh
"""been""","Los Angeles, CA, USA",663craigh
"""been""","Chadstone, Australia",663craigh
"""been""","Anaheim, CA, USA",663craigh
"""been""","Port Macquarie, Australia",663craigh
"""been""","Ourimbah, Australia",663craigh
"""been""","Niagara Park, Australia",663craigh
"""been""","Wyong, Australia",663craigh
"""been""","Tuggerah, Australia",663craigh
"""been""","Honolulu, HI, USA",663craigh
"""been""","St Peters, Australia",663craigh
"""been""","Lisarow, Australia",663craigh
"""been""","St Kilda, Australia",663craigh
"""been""","Haleiwa, HI, USA",663craigh
"""been""","Las Vegas, NV, USA",663craigh
"""been""","Speers Point, Australia",663craigh
"""been""","Gosford, Australia",663craigh
"""been""","Charlestown, Australia",663craigh
