tag,place,user
"""been""","Los Angeles, CA, USA",668walth
"""been""","Savannah, GA, USA",668walth
"""been""","Yemassee, SC, USA",668walth
"""been""","Daytona Beach, FL, USA",668walth
"""been""","Tusayan, AZ, USA",668walth
"""been""","Charleston, SC, USA",668walth
"""been""","Boulder City, NV, USA",668walth
"""been""","St. Augustine, FL, USA",668walth
"""been""","New Orleans, LA, USA",668walth
"""been""","Saint Augustine Beach, FL, USA",668walth
"""been""","Las Vegas, NV, USA",668walth
"""been""","Manassas, VA, USA",668walth
