tag,place,user
"""been""","Anaheim, CA, USA",723charlag
"""been""","Angels Camp, CA, USA",723charlag
"""been""","Long Beach, CA, USA",723charlag
"""been""","Cameron, AZ, USA",723charlag
"""been""","Bridgeport, CA, USA",723charlag
"""been""","North Las Vegas, NV, USA",723charlag
"""been""","Canon City, CO, USA",723charlag
"""been""","Evanston, WY, USA",723charlag
"""been""","Fort Bragg, CA, USA",723charlag
"""been""","Las Vegas, NV, USA",723charlag
"""been""","Henderson, NV, USA",723charlag
"""been""","Rock Springs, WY, USA",723charlag
