tag,place,user
"""been""","Dorking, UK",787ewhurst
"""been""","Puerto Banus, Spain",787ewhurst
"""been""","Mexico City, Mexico",787ewhurst
"""been""","Carmel, CA, USA",787ewhurst
"""been""","Cairns, Australia",787ewhurst
"""been""","Estepona, Spain",787ewhurst
"""been""","Melbourne, Australia",787ewhurst
"""been""","Santa Barbara, CA, USA",787ewhurst
"""been""","Marbella, Spain",787ewhurst
"""been""","Brisbane, Australia",787ewhurst
"""been""","Los Angeles, CA, USA",787ewhurst
"""been""","Ko Samet, Thailand",787ewhurst
"""been""","Hong Kong, China",787ewhurst
"""been""","Horsham, UK",787ewhurst
"""been""","Brighton, UK",787ewhurst
"""been""","Torremolinos, Spain",787ewhurst
"""been""","Portsmouth, UK",787ewhurst
"""been""","Chester, UK",787ewhurst
"""been""","San Francisco, CA, USA",787ewhurst
"""been""","Guildford, UK",787ewhurst
"""been""","Walliswood, UK",787ewhurst
"""been""","Rudgwick, UK",787ewhurst
"""been""","Bangkok, Thailand",787ewhurst
"""been""","Kingston upon Thames, UK",787ewhurst
"""been""","Pattaya, Thailand",787ewhurst
"""been""","Gros Islet, St. Lucia",787ewhurst
"""been""","Burbank, CA, USA",787ewhurst
"""been""","Peaslake, UK",787ewhurst
"""been""","Cap Estate, St. Lucia",787ewhurst
"""been""","Cranleigh, UK",787ewhurst
