tag,place,user
"""been""","Christchurch, New Zealand",853mayanad
"""been""","Chuo, Japan",853mayanad
"""been""","Rotorua, New Zealand",853mayanad
"""been""","Los Angeles, CA, USA",853mayanad
"""been""","Whitianga, New Zealand",853mayanad
"""been""","Auckland, New Zealand",853mayanad
"""been""","Paihia, New Zealand",853mayanad
"""been""","Whakatane, New Zealand",853mayanad
"""been""","Coromandel, New Zealand",853mayanad
"""been""","Fullerton, CA, USA",853mayanad
"""been""","Onehunga, New Zealand",853mayanad
"""been""","Botany Downs, New Zealand",853mayanad
"""been""","Matamata, New Zealand",853mayanad
"""been""","Rarotonga, Cook Islands",853mayanad
"""been""","Henderson, New Zealand",853mayanad
"""been""","Wanaka, New Zealand",853mayanad
"""been""","Thames, New Zealand",853mayanad
"""been""","Auckland Central, New Zealand",853mayanad
"""been""","Manukau, New Zealand",853mayanad
"""been""","Anaheim, CA, USA",853mayanad
"""been""","Queenstown, New Zealand",853mayanad
"""been""","Avarua, Cook Islands",853mayanad
"""been""","Mangere, New Zealand",853mayanad
"""been""","Hinuera, New Zealand",853mayanad
"""been""","Muri, Cook Islands",853mayanad
"""been""","Takanini, New Zealand",853mayanad
"""been""","Mount Wellington, New Zealand",853mayanad
"""been""","Otahuhu, New Zealand",853mayanad
