tag,place,user
"""been"",""fave""","Austin, TX, USA",874jelled
"""been""","New York City, NY, USA",874jelled
"""been""","Honolulu, HI, USA",874jelled
"""been""","Paris, France",874jelled
"""been"",""fave""","Berlin, Germany",874jelled
"""been""","London, UK",874jelled
"""been""","Vienna, Austria",874jelled
"""been""","Glasgow, UK",874jelled
"""been""","Oslo, Norway",874jelled
"""been"",""fave""","Stavanger, Norway",874jelled
"""been""","Catania, Italy",874jelled
"""been""","Dundee, UK",874jelled
"""been"",""fave""","Koke'e State Park, HI, USA",874jelled
"""been""","Portland, OR, USA",874jelled
"""been""","Fort Augustus, UK",874jelled
"""been""","Vilnius, Lithuania",874jelled
"""been""","Los Angeles, CA, USA",874jelled
"""been"",""fave""","Malibu, CA, USA",874jelled
"""been"",""fave""","Kukuihaele, HI, USA",874jelled
"""been"",""fave""","Death Valley National Park, CA, USA",874jelled
"""been""","Porto, Portugal",874jelled
"""been""","Dubrovnik, Croatia",874jelled
"""been"",""fave""","Volcano, HI, USA",874jelled
"""been""","Amsterdam, The Netherlands",874jelled
"""been""","Poipu, HI, USA",874jelled
"""been""","Las Vegas, NV, USA",874jelled
"""been""","Hvar, Croatia",874jelled
"""been"",""fave""","Lihue, HI, USA",874jelled
"""been""","Perth, UK",874jelled
"""been""","Kailua-Kona, HI, USA",874jelled
"""been""","Stockholm, Sweden",874jelled
"""been""","Cancun, Mexico",874jelled
"""been""","Santa Monica, CA, USA",874jelled
"""been""","Madrid, Spain",874jelled
"""been""","Dublin, Ireland",874jelled
"""been""","Kapaa, HI, USA",874jelled
"""been""","Lisbon, Portugal",874jelled
"""been""","Venice, Italy",874jelled
"""been""","San Francisco, CA, USA",874jelled
"""been""","Seattle, WA, USA",874jelled
"""been""","Barcelona, Spain",874jelled
"""been""","Baltimore, MD, USA",874jelled
"""been"",""fave""","Rome, Italy",874jelled
"""been"",""fave""","Palermo, Italy",874jelled
"""been"",""fave""","Hanalei, HI, USA",874jelled
"""been""","Potsdam, Germany",874jelled
