tag,place,user
"""been""","Scottsdale, AZ, USA",875peterb
"""been""","Vouliagmeni, Greece",875peterb
"""been""","Sydney, Australia",875peterb
"""been""","Fira, Greece",875peterb
"""been""","Phoenix, AZ, USA",875peterb
"""been""","Salzburg, Austria",875peterb
"""been""","Berlin, Germany",875peterb
"""been""","Los Angeles, CA, USA",875peterb
"""been""","Platys Gialos, Greece",875peterb
"""been""","Vienna, Austria",875peterb
"""been""","Canberra, Australia",875peterb
"""been""","Beverly Hills, CA, USA",875peterb
