tag,place,user
"""been""","Puerto Vallarta, Mexico",894erict
"""been""","Madrid, Spain",894erict
"""been"",""want""","Los Angeles, CA, USA",894erict
"""want""","Orlando, FL, USA",894erict
"""want""","Fort Lauderdale, FL, USA",894erict
"""been""","Puerto Rico, Caribbean",894erict
"""been""","Veracruz, Mexico",894erict
"""been""","Columbus, OH, USA",894erict
"""been""","Cleveland, OH, USA",894erict
"""been""","Chicago, IL, USA",894erict
"""been""","Sacramento, CA, USA",894erict
"""been""","Victoria, British Columbia, Canada",894erict
"""been""","Washington DC, DC, USA",894erict
"""been""","Guadalajara, Mexico",894erict
"""been""","Toledo, Spain",894erict
"""been""","Vancouver, British Columbia, Canada",894erict
"""been""","New Orleans, LA, USA",894erict
"""been""","Barcelona, Spain",894erict
"""been""","Cabo San Lucas, Mexico",894erict
"""been""","Cincinnati, OH, USA",894erict
"""been""","Rome, Italy",894erict
