tag,place,user
"""been""","Las Vegas, NV, USA",941adriennes
"""been""","Panama City, Panama",941adriennes
"""been""","Bavaro, Dominican Republic",941adriennes
"""been"",""want""","New York City, NY, USA",941adriennes
"""been""","Burbank, CA, USA",941adriennes
"""been""","Punta de Mita, Mexico",941adriennes
"""been""","Key West, FL, USA",941adriennes
"""been""","Grand Cayman, Cayman Islands",941adriennes
"""been""","Durham, NC, USA",941adriennes
"""been""","Seven Mile Beach, Cayman Islands",941adriennes
"""been""","George Town, Cayman Islands",941adriennes
"""been""","Gros Islet, St. Lucia",941adriennes
"""been""","Santa Monica, CA, USA",941adriennes
"""been""","Miami, FL, USA",941adriennes
"""been""","Miami Beach, FL, USA",941adriennes
"""been""","Charlotte, NC, USA",941adriennes
"""been""","Herradura, Costa Rica",941adriennes
"""been""","West Bay, Cayman Islands",941adriennes
"""been""","Puerto Plata, Dominican Republic",941adriennes
"""been""","Cap Estate, St. Lucia",941adriennes
"""been""","Punta Cana, Dominican Republic",941adriennes
"""been""","Kingston, Jamaica",941adriennes
"""been""","Ocho Rios, Jamaica",941adriennes
"""been""","Los Angeles, CA, USA",941adriennes
"""been""","Anaheim, CA, USA",941adriennes
