tag,place,user
"""been""","San Diego, CA, USA",942donaldc
"""been""","Los Olivos, CA, USA",942donaldc
"""been""","Temecula, CA, USA",942donaldc
"""been""","Paia, HI, USA",942donaldc
"""been""","Paris, France",942donaldc
"""been""","Cancun, Mexico",942donaldc
"""been""","Lahaina, HI, USA",942donaldc
"""been""","Cabo San Lucas, Mexico",942donaldc
"""been""","Gros Islet, St. Lucia",942donaldc
"""been""","Pleasanton, CA, USA",942donaldc
"""been""","Solvang, CA, USA",942donaldc
"""been""","Sunnyvale, CA, USA",942donaldc
"""been""","Burbank, CA, USA",942donaldc
"""been""","Buena Park, CA, USA",942donaldc
"""been""","Paradise Island, Bahamas",942donaldc
"""been""","Los Angeles, CA, USA",942donaldc
"""been""","Dublin, CA, USA",942donaldc
"""been""","Malibu, CA, USA",942donaldc
