tag,place,user
"""been""","Los Angeles, CA, USA",955nilsc
"""been""","Milas, Turkey",955nilsc
"""been""","Glasgow, UK",955nilsc
"""been""","Scheveningen, The Netherlands",955nilsc
"""been""","Manuel Antonio, Costa Rica",955nilsc
"""been""","London, UK",955nilsc
"""been""","Luang Prabang, Laos",955nilsc
"""been""","Pozzuoli, Italy",955nilsc
"""been""","Tortuguero, Costa Rica",955nilsc
"""been""","Cartmel, UK",955nilsc
"""been""","Southampton, UK",955nilsc
"""been""","Manzanillo, Costa Rica",955nilsc
"""been""","Victoria, British Columbia, Canada",955nilsc
"""been""","Hoi An, Vietnam",955nilsc
"""been""","Erbil, Iraq",955nilsc
"""been""","West Lulworth, UK",955nilsc
"""been""","Hanoi, Vietnam",955nilsc
"""been""","Backbarrow, UK",955nilsc
"""been""","Champasak Town, Laos",955nilsc
"""been""","Abu Dhabi, United Arab Emirates",955nilsc
"""been""","Bracciano, Italy",955nilsc
"""been""","Grange-over-Sands, UK",955nilsc
"""been""","Oxford, UK",955nilsc
"""been""","Rome, Italy",955nilsc
"""been""","Freetown, Antigua and Barbuda",955nilsc
"""been""","Aberdeen, UK",955nilsc
"""been""","Trevignano Romano, Italy",955nilsc
"""been""","Lake Louise, Alberta, Canada",955nilsc
"""been""","Long Beach, CA, USA",955nilsc
"""been""","Massa Lubrense, Italy",955nilsc
