tag,place,user
"""been""","Los Angeles, CA, USA",968cristinas
"""been""","Orlando, FL, USA",968cristinas
"""been""","San Francisco, CA, USA",968cristinas
"""been""","Blue Ridge, GA, USA",968cristinas
"""been""","La Fortuna de San Carlos, Costa Rica",968cristinas
"""been""","Cartagena, Colombia",968cristinas
"""been""","Madrid, Spain",968cristinas
"""been""","Oakhurst, CA, USA",968cristinas
"""been""","Park City, UT, USA",968cristinas
"""been""","Hollywood, FL, USA",968cristinas
"""been""","Big Sur, CA, USA",968cristinas
"""been"",""want""","San Juan, Puerto Rico",968cristinas
"""been""","Fort Myers Beach, FL, USA",968cristinas
"""been""","Key Largo, FL, USA",968cristinas
"""been""","Blairsville, GA, USA",968cristinas
"""been""","St. Augustine, FL, USA",968cristinas
"""been""","Daly City, CA, USA",968cristinas
"""been""","Key West, FL, USA",968cristinas
"""want""","Cusco, Peru",968cristinas
"""been""","Tampa, FL, USA",968cristinas
