tag,place,user
"""been""","Thorlakshofn, Iceland",AJICE
"""been""","Laugarvatn, Iceland",AJICE
"""been""","Snaefellsbaer, Iceland",AJICE
"""been""","Hellnar, Iceland",AJICE
"""been""","Kirkjubaejarklaustur, Iceland",AJICE
"""been""","Seltjarnarnes, Iceland",AJICE
"""been""","San Simeon, CA, USA",AJICE
"""been""","Cayucos, CA, USA",AJICE
"""been""","Efri-Vik, Iceland",AJICE
"""been""","Atlanta, GA, USA",AJICE
"""been""","Oxford, UK",AJICE
"""been""","Somlovasarhely, Hungary",AJICE
"""want""","Hurghada, Egypt",AJICE
"""been""","Thingvellir, Iceland",AJICE
"""been""","Selfoss, Iceland",AJICE
"""been""","Grenivik, Iceland",AJICE
"""been""","Leuven, Belgium",AJICE
"""been""","Richmond, VA, USA",AJICE
"""want""","Melbourne, Australia",AJICE
"""want""","Niagara Falls, Ontario, Canada",AJICE
"""been""","Eyrarbakki, Iceland",AJICE
"""been""","San Angelo, TX, USA",AJICE
"""want""","Tokyo, Japan",AJICE
"""been""","Choeng Thale, Thailand",AJICE
"""been""","St. Augustine, FL, USA",AJICE
"""been""","Stykkisholmur, Iceland",AJICE
"""been""","Hveragerdi, Iceland",AJICE
"""want""","Berlin, Germany",AJICE
"""want""","Belfast, UK",AJICE
"""been""","Budardalur, Iceland",AJICE
"""been""","Istanbul, Turkey",AJICE
"""been""","Egilsstadir, Iceland",AJICE
"""been""","Djupivogur, Iceland",AJICE
"""been""","Lake Myvatn, Iceland",AJICE
"""been""","Freehold, NJ, USA",AJICE
"""been""","Olafsfjordur, Iceland",AJICE
"""been""","Stokkseyri, Iceland",AJICE
"""been""","San Marcos, TX, USA",AJICE
"""been""","Dripping Springs, TX, USA",AJICE
"""been""","Novi Sad, Serbia",AJICE
"""been""","Sudureyri, Iceland",AJICE
"""been""","Olfuss, Iceland",AJICE
"""been""","Daytona Beach Shores, FL, USA",AJICE
"""been""","Brussels, Belgium",AJICE
"""been""","Seydisfjordur, Iceland",AJICE
"""been""","Straumsvik, Iceland",AJICE
"""been""","Reykjavik, Iceland",AJICE
"""been""","Siglufjordur, Iceland",AJICE
"""been""","Bildudalur, Iceland",AJICE
"""been""","Vatnajokull National Park, Iceland",AJICE
"""been""","Skaftafell, Iceland",AJICE
"""been""","Olafsvik, Iceland",AJICE
"""been""","Vik, Iceland",AJICE
"""been""","Heimaey Island, Iceland",AJICE
"""been""","Philadelphia, PA, USA",AJICE
"""been""","Vestmannaeyjar, Iceland",AJICE
"""been""","Kverkfjoll, Iceland",AJICE
"""been""","Flateyri, Iceland",AJICE
"""been""","Hoi An, Vietnam",AJICE
"""been""","Saint-Gilles, Belgium",AJICE
"""been""","Da Nang, Vietnam",AJICE
"""been""","Skalholt, Iceland",AJICE
"""been""","Skalafell, Iceland",AJICE
"""been""","Husavik, Iceland",AJICE
"""want""","Rotterdam, The Netherlands",AJICE
"""been""","Port Orange, FL, USA",AJICE
"""been""","Keflavik, Iceland",AJICE
"""been""","Holmavik, Iceland",AJICE
"""been""","Husafell, Iceland",AJICE
"""been""","Pula, Croatia",AJICE
"""been""","Hofn, Iceland",AJICE
"""been""","Vilafranca del Penedes, Spain",AJICE
"""want""","Munich, Germany",AJICE
"""been""","Rif, Iceland",AJICE
"""been""","Isafjordur, Iceland",AJICE
"""been""","Hrutafjordur, Iceland",AJICE
"""been""","Reykholar, Iceland",AJICE
"""want""","Daytona Beach, FL, USA",AJICE
"""been""","Holly Hill, FL, USA",AJICE
"""been""","Chalong, Thailand",AJICE
"""been""","Hvammstangi, Iceland",AJICE
"""been""","Borgarfjordur Eystri, Iceland",AJICE
"""been""","Barcelona, Spain",AJICE
