tag,place,user
"""been""","Las Vegas, NV, USA",ATourist6
"""been""","Athens, Greece",ATourist6
"""been""","Medford, OR, USA",ATourist6
"""been""","San Jose del Cabo, Mexico",ATourist6
"""been""","San Juan, Puerto Rico",ATourist6
"""been""","Solana Beach, CA, USA",ATourist6
"""been""","Santo Domingo, Dominican Republic",ATourist6
"""been""","Punta Cana, Dominican Republic",ATourist6
"""been""","Grenada, Caribbean",ATourist6
"""been"",""want""","Los Angeles, CA, USA",ATourist6
"""been""","Sonoma, CA, USA",ATourist6
"""been""","Chicago, IL, USA",ATourist6
"""been""","Puerto Plata, Dominican Republic",ATourist6
"""been""","Occidental, CA, USA",ATourist6
"""been""","La Romana, Dominican Republic",ATourist6
"""been""","Ashland, OR, USA",ATourist6
"""been""","Taos, NM, USA",ATourist6
"""been""","Winnemucca, NV, USA",ATourist6
"""been""","Hawthorne, NV, USA",ATourist6
"""been""","Woodland, CA, USA",ATourist6
"""been""","Puerto Rico, Caribbean",ATourist6
"""been""","Santa Monica, CA, USA",ATourist6
"""been""","Bishop, CA, USA",ATourist6
"""been""","Santa Rosa, CA, USA",ATourist6
"""want""","Providenciales, Turks and Caicos",ATourist6
"""been""","Phoenix, AZ, USA",ATourist6
"""been""","Fairfield, CA, USA",ATourist6
"""been""","Napa, CA, USA",ATourist6
"""been""","Lone Pine, CA, USA",ATourist6
"""been""","Long Beach, CA, USA",ATourist6
"""been""","Northeast Harbor, ME, USA",ATourist6
"""been""","Shanghai, China",ATourist6
"""been""","Tokyo, Japan",ATourist6
"""been""","Lakeview, OR, USA",ATourist6
"""been""","Nashville, TN, USA",ATourist6
"""been""","Istanbul, Turkey",ATourist6
"""been""","Santa Barbara, CA, USA",ATourist6
"""been""","Emeryville, CA, USA",ATourist6
"""been""","Boston, MA, USA",ATourist6
"""been""","New Orleans, LA, USA",ATourist6
"""been""","Puerto Vallarta, Mexico",ATourist6
"""been""","Honolulu, HI, USA",ATourist6
"""been""","Mazatlan, Mexico",ATourist6
"""want""","Venice, Italy",ATourist6
"""been""","Campeche, Mexico",ATourist6
"""been""","Cannonville, UT, USA",ATourist6
"""been""","Grants Pass, OR, USA",ATourist6
"""been""","Durango, CO, USA",ATourist6
"""been""","Seattle, WA, USA",ATourist6
"""want""","Bridgetown, Barbados",ATourist6
"""been""","Sosua, Dominican Republic",ATourist6
"""been""","Roseville, CA, USA",ATourist6
"""been""","Monument Valley, UT, USA",ATourist6
"""been""","Chinle, AZ, USA",ATourist6
"""been""","San Diego, CA, USA",ATourist6
"""been""","St. John, U.S. Virgin Islands",ATourist6
"""been""","Rhodes Town, Greece",ATourist6
"""been""","Boulder, UT, USA",ATourist6
"""been""","Merida, Mexico",ATourist6
"""want""","London, UK",ATourist6
"""been""","Fort Myers Beach, FL, USA",ATourist6
"""been""","Fort Myers, FL, USA",ATourist6
"""want""","Paris, France",ATourist6
"""been""","El Cerrito, CA, USA",ATourist6
"""been""","San Marino, CA, USA",ATourist6
"""been""","Orlando, FL, USA",ATourist6
"""been""","Clearlake, CA, USA",ATourist6
"""been""","Bernard, ME, USA",ATourist6
"""been""","New York City, NY, USA",ATourist6
"""been""","Xi'an, China",ATourist6
"""been""","Santorini, Greece",ATourist6
"""been""","Richmond, RI, USA",ATourist6
"""been""","West Hollywood, CA, USA",ATourist6
"""been""","Virgin Gorda, British Virgin Islands",ATourist6
"""been""","Kings Beach, CA, USA",ATourist6
"""been""","Roseburg, OR, USA",ATourist6
"""been""","Del Mar, CA, USA",ATourist6
"""been""","Key West, FL, USA",ATourist6
"""been""","Tortola, British Virgin Islands",ATourist6
"""been""","Marina del Rey, CA, USA",ATourist6
"""been""","Key Largo, FL, USA",ATourist6
"""been""","Houston, TX, USA",ATourist6
"""been""","Baltimore, MD, USA",ATourist6
"""been""","San Gabriel, CA, USA",ATourist6
"""been""","Albuquerque, NM, USA",ATourist6
"""been""","Westley, CA, USA",ATourist6
"""been""","Ellsworth, ME, USA",ATourist6
"""been""","Reno, NV, USA",ATourist6
"""been""","Salida, CA, USA",ATourist6
"""want""","Rome, Italy",ATourist6
"""been""","Bar Harbor, ME, USA",ATourist6
"""been""","Beijing, China",ATourist6
"""been""","Portland, OR, USA",ATourist6
"""been""","Calistoga, CA, USA",ATourist6
"""been""","Chongqing, China",ATourist6
"""been""","San Francisco, CA, USA",ATourist6
"""been""","Page, AZ, USA",ATourist6
"""been""","Santa Fe, NM, USA",ATourist6
"""been""","Saipan, Mariana Islands",ATourist6
"""been""","San Antonio, TX, USA",ATourist6
"""been""","St. Petersburg, FL, USA",ATourist6
"""been""","Tucson, AZ, USA",ATourist6
