tag,place,user
"""been""","Orderville, UT, USA",AceWickwire
"""been""","Honokaa, HI, USA",AceWickwire
"""been""","Hilo, HI, USA",AceWickwire
"""been""","Palm Springs, CA, USA",AceWickwire
"""been""","Indio, CA, USA",AceWickwire
"""been""","Hatch, UT, USA",AceWickwire
"""been""","Salt Lake City, UT, USA",AceWickwire
"""been""","Fort Lauderdale, FL, USA",AceWickwire
"""been""","Clearfield, UT, USA",AceWickwire
"""been""","Hemet, CA, USA",AceWickwire
"""been""","Cedar City, UT, USA",AceWickwire
"""been""","Grand Junction, CO, USA",AceWickwire
"""been""","Westminster, CO, USA",AceWickwire
"""been""","Midvale, UT, USA",AceWickwire
"""been""","Henderson, NV, USA",AceWickwire
"""been""","Blackfoot, ID, USA",AceWickwire
"""been""","Kalispell, MT, USA",AceWickwire
"""been""","San Diego, CA, USA",AceWickwire
"""been""","Kurtistown, HI, USA",AceWickwire
"""been""","Riverside, CA, USA",AceWickwire
"""been""","Monterey, CA, USA",AceWickwire
"""been""","Gila Bend, AZ, USA",AceWickwire
"""been""","Los Angeles, CA, USA",AceWickwire
"""been""","Northglenn, CO, USA",AceWickwire
"""been""","Page, AZ, USA",AceWickwire
"""been""","Thornton, CO, USA",AceWickwire
"""been""","Bakersfield, CA, USA",AceWickwire
"""been""","Avalon, CA, USA",AceWickwire
"""been""","Arlee, MT, USA",AceWickwire
"""been""","Cabazon, CA, USA",AceWickwire
"""been""","Fruita, CO, USA",AceWickwire
"""been""","Hawaii Volcanoes National Park, HI, USA",AceWickwire
"""been""","Tucson, AZ, USA",AceWickwire
"""been""","Kailua-Kona, HI, USA",AceWickwire
"""been""","Salinas, CA, USA",AceWickwire
"""been""","Boron, CA, USA",AceWickwire
"""been""","Tehachapi, CA, USA",AceWickwire
"""been""","Spanish Fork, UT, USA",AceWickwire
"""been""","Panguitch, UT, USA",AceWickwire
"""been""","Barcelona, Spain",AceWickwire
"""been""","Playa del Carmen, Mexico",AceWickwire
"""been""","Rome, Italy",AceWickwire
"""been""","Mount Carmel, UT, USA",AceWickwire
