tag,place,user
"""been""","Brussels, Belgium",Acozturk
"""been""","Camyuva, Turkey",Acozturk
"""been""","Gaziantep, Turkey",Acozturk
"""been""","Mugla, Turkey",Acozturk
"""been""","Istanbul, Turkey",Acozturk
"""been""","Monterey, CA, USA",Acozturk
"""been""","Eskisehir, Turkey",Acozturk
"""been""","Kars, Turkey",Acozturk
"""been""","Cesme, Turkey",Acozturk
"""been""","Igneada, Turkey",Acozturk
"""been""","San Diego, CA, USA",Acozturk
"""been""","Santa Monica, CA, USA",Acozturk
"""been""","Baku, Azerbaijan",Acozturk
"""been""","Alacati, Turkey",Acozturk
"""been""","Burhaniye, Turkey",Acozturk
"""been""","Sanliurfa, Turkey",Acozturk
"""been""","Pamporovo, Bulgaria",Acozturk
