tag,place,user
"""been""","Surfers Paradise, Australia",AmyM440NZ
"""been""","Santa Barbara, CA, USA",AmyM440NZ
"""been""","St. Helena, CA, USA",AmyM440NZ
"""been"",""want""","Houston, TX, USA",AmyM440NZ
"""been""","Siem Reap, Cambodia",AmyM440NZ
"""want""","Daytona Beach, FL, USA",AmyM440NZ
"""been""","Prague, Czech Republic",AmyM440NZ
"""been""","Barcelona, Spain",AmyM440NZ
"""been""","Marseille, France",AmyM440NZ
"""been""","Ubud, Indonesia",AmyM440NZ
"""been""","Dallas, TX, USA",AmyM440NZ
"""been""","Brisbane, Australia",AmyM440NZ
"""been""","Melbourne, Australia",AmyM440NZ
"""been""","Seminyak, Indonesia",AmyM440NZ
"""been""","Bangkok, Thailand",AmyM440NZ
"""been""","Phoenix, AZ, USA",AmyM440NZ
"""been""","Santa Monica, CA, USA",AmyM440NZ
"""been""","Scottsdale, AZ, USA",AmyM440NZ
"""been""","Munich, Germany",AmyM440NZ
"""been""","Albuquerque, NM, USA",AmyM440NZ
"""been""","Chiang Mai, Thailand",AmyM440NZ
"""been""","Amsterdam, The Netherlands",AmyM440NZ
"""been""","Wellington, New Zealand",AmyM440NZ
"""been""","Liverpool, UK",AmyM440NZ
"""been""","London, UK",AmyM440NZ
"""want""","Nashville, TN, USA",AmyM440NZ
"""been""","Paris, France",AmyM440NZ
"""want""","Denver, CO, USA",AmyM440NZ
"""want""","Austin, TX, USA",AmyM440NZ
"""been""","Ho Chi Minh City, Vietnam",AmyM440NZ
"""been""","Hanoi, Vietnam",AmyM440NZ
"""been""","Las Vegas, NV, USA",AmyM440NZ
"""been""","Venice, Italy",AmyM440NZ
"""been""","Vienna, Austria",AmyM440NZ
"""been""","Auckland, New Zealand",AmyM440NZ
"""been""","Williams, AZ, USA",AmyM440NZ
"""been""","Budapest, Hungary",AmyM440NZ
"""want""","Miami Beach, FL, USA",AmyM440NZ
"""been""","Miami, FL, USA",AmyM440NZ
"""been""","Fort Worth, TX, USA",AmyM440NZ
"""been""","Nice, France",AmyM440NZ
"""been""","Los Angeles, CA, USA",AmyM440NZ
"""want""","Tampa, FL, USA",AmyM440NZ
"""want""","Havana, Cuba",AmyM440NZ
"""been""","Tucson, AZ, USA",AmyM440NZ
"""been""","Amarillo, TX, USA",AmyM440NZ
"""want""","Ayia Napa, Cyprus",AmyM440NZ
"""been""","San Francisco, CA, USA",AmyM440NZ
"""been""","Kaikoura, New Zealand",AmyM440NZ
"""been""","Berlin, Germany",AmyM440NZ
