tag,place,user
"""been""","Hurghada, Egypt",AndyTesch
"""want""","Prague, Czech Republic",AndyTesch
"""been""","Avignon, France",AndyTesch
"""been""","Vasteras, Sweden",AndyTesch
"""been""","Laoag, Philippines",AndyTesch
"""been""","Boras, Sweden",AndyTesch
"""been""","Makadi Bay, Egypt",AndyTesch
"""been""","Lagan, Sweden",AndyTesch
"""want""","Rio de Janeiro, Brazil",AndyTesch
"""been""","Dagupan, Philippines",AndyTesch
"""been""","Bergen, Norway",AndyTesch
"""want""","Las Vegas, NV, USA",AndyTesch
"""been"",""fave""","Mumbai, India",AndyTesch
"""been""","Gotland, Sweden",AndyTesch
"""been""","Cairo, Egypt",AndyTesch
"""been""","Tarragona, Spain",AndyTesch
"""been""","Halmstad, Sweden",AndyTesch
"""been""","Skagen, Denmark",AndyTesch
"""want""","Honolulu, HI, USA",AndyTesch
"""been""","Gran Canaria, Spain",AndyTesch
"""been""","Eskilstuna, Sweden",AndyTesch
"""been""","Narvik, Norway",AndyTesch
"""been""","Las Palmas de Gran Canaria, Spain",AndyTesch
"""been""","Zell am See, Austria",AndyTesch
"""been""","Luxembourg City, Luxembourg",AndyTesch
"""want""","Bangkok, Thailand",AndyTesch
"""been"",""want""","Miami Beach, FL, USA",AndyTesch
"""been"",""want""","Los Angeles, CA, USA",AndyTesch
"""been""","Oslo, Norway",AndyTesch
"""want""","Miami, FL, USA",AndyTesch
"""been""","Riga, Latvia",AndyTesch
"""want""","Venice, Italy",AndyTesch
"""been"",""fave""","Nerja, Spain",AndyTesch
"""been""","Gothenburg, Sweden",AndyTesch
"""been""","Basel, Switzerland",AndyTesch
"""been""","El Nido, Philippines",AndyTesch
"""been"",""fave""","Tenerife, Spain",AndyTesch
"""been""","Ostersund, Sweden",AndyTesch
"""been""","Aland Island, Finland",AndyTesch
"""been""","Helsinki, Finland",AndyTesch
"""been"",""fave""","Madrid, Spain",AndyTesch
"""been""","Puerto Princesa, Philippines",AndyTesch
"""want""","Shanghai, China",AndyTesch
"""want""","Tokyo, Japan",AndyTesch
"""been""","Copenhagen, Denmark",AndyTesch
"""been""","Boracay, Philippines",AndyTesch
"""been""","Cebu City, Philippines",AndyTesch
"""want""","Istanbul, Turkey",AndyTesch
"""been""","Gavle, Sweden",AndyTesch
"""been"",""want""","Valencia, Spain",AndyTesch
"""been""","Stratford-upon-Avon, UK",AndyTesch
"""been""","Sundsvall, Sweden",AndyTesch
"""been""","Rethymnon, Greece",AndyTesch
"""want""","Singapore, Singapore",AndyTesch
"""been""","Sigtuna, Sweden",AndyTesch
"""want""","San Francisco, CA, USA",AndyTesch
"""been""","Trondheim, Norway",AndyTesch
"""been""","Helsingborg, Sweden",AndyTesch
"""been""","Malmo, Sweden",AndyTesch
"""been""","Lund, Sweden",AndyTesch
"""been""","Nacka, Sweden",AndyTesch
"""been""","Fagersta, Sweden",AndyTesch
"""been""","Simrishamn, Sweden",AndyTesch
"""been""","Lisbon, Portugal",AndyTesch
"""been"",""want"",""fave""","Barcelona, Spain",AndyTesch
"""been""","Oskarshamn, Sweden",AndyTesch
"""been""","Mora, Sweden",AndyTesch
"""been""","Ludvika, Sweden",AndyTesch
"""want""","Dublin, Ireland",AndyTesch
"""been"",""want""","Maspalomas, Spain",AndyTesch
"""been""","Amsterdam, The Netherlands",AndyTesch
"""been""","Playa del Ingles, Spain",AndyTesch
"""been""","Gruyeres, Switzerland",AndyTesch
"""been""","Bromma, Sweden",AndyTesch
"""been""","Zafferana Etnea, Italy",AndyTesch
"""been""","Rhodes Town, Greece",AndyTesch
"""been""","Kalmar, Sweden",AndyTesch
"""been""","Vaxjo, Sweden",AndyTesch
"""been""","Baguio, Philippines",AndyTesch
"""been""","Huskvarna, Sweden",AndyTesch
"""been""","Karlshamn, Sweden",AndyTesch
"""been"",""fave""","Paris, France",AndyTesch
"""been""","Versailles, France",AndyTesch
"""want""","Garmisch-Partenkirchen, Germany",AndyTesch
"""been""","Ronneby, Sweden",AndyTesch
"""been""","Karlskrona, Sweden",AndyTesch
"""been"",""fave""","London, UK",AndyTesch
"""been"",""fave""","Manila, Philippines",AndyTesch
"""want""","Rome, Italy",AndyTesch
"""been""","Makati, Philippines",AndyTesch
"""been""","Are, Sweden",AndyTesch
"""been""","Malaga, Spain",AndyTesch
"""been"",""fave""","Marbella, Spain",AndyTesch
"""been""","Mellerud, Sweden",AndyTesch
"""been""","Cambridge, UK",AndyTesch
"""been"",""fave""","Hong Kong, China",AndyTesch
"""been""","Djurgarden, Sweden",AndyTesch
"""been""","Alanya, Turkey",AndyTesch
"""been""","Budapest, Hungary",AndyTesch
"""been"",""fave""","Stockholm, Sweden",AndyTesch
"""been""","Bergamo, Italy",AndyTesch
"""been""","Falun, Sweden",AndyTesch
"""been""","Beijing, China",AndyTesch
"""been"",""want"",""fave""","Dubai, United Arab Emirates",AndyTesch
"""been""","Antalya, Turkey",AndyTesch
"""been""","Visby, Sweden",AndyTesch
"""been""","Maui, HI, USA",AndyTesch
"""been""","Borlange, Sweden",AndyTesch
"""been""","Solna, Sweden",AndyTesch
"""been""","Milan, Italy",AndyTesch
"""been""","Seville, Spain",AndyTesch
"""want""","Berlin, Germany",AndyTesch
"""been""","Wailuku, HI, USA",AndyTesch
"""been""","Norrkoping, Sweden",AndyTesch
"""been""","Sodertalje, Sweden",AndyTesch
"""been"",""want""","New York City, NY, USA",AndyTesch
"""been""","Uppsala, Sweden",AndyTesch
"""been""","Playa de las Americas, Spain",AndyTesch
