tag,place,user
"""been""","Belize City, Belize",Araae1
"""been""","Killeen, TX, USA",Araae1
"""been""","Las Vegas, NV, USA",Araae1
"""been""","Colorado Springs, CO, USA",Araae1
"""been""","Coronado, CA, USA",Araae1
"""been""","Plano, TX, USA",Araae1
"""been""","Frisco, TX, USA",Araae1
"""been""","Stephenville, TX, USA",Araae1
"""been""","San Francisco, CA, USA",Araae1
"""been"",""want""","Seattle, WA, USA",Araae1
"""been""","Oklahoma City, OK, USA",Araae1
"""been""","Cozumel, Mexico",Araae1
"""been""","Lyons, CO, USA",Araae1
"""been""","Nashville, TN, USA",Araae1
"""been""","Mescalero, NM, USA",Araae1
"""been"",""fave""","San Diego, CA, USA",Araae1
"""been""","Branson, MO, USA",Araae1
"""been""","Saint John, New Brunswick, Canada",Araae1
"""been""","Little Elm, TX, USA",Araae1
"""been""","Santa Monica, CA, USA",Araae1
"""been""","Peggy's Cove, Nova Scotia, Canada",Araae1
"""been""","Estes Park, CO, USA",Araae1
"""been""","Orlando, FL, USA",Araae1
"""been""","El Paso, TX, USA",Araae1
"""want""","Venice, Italy",Araae1
"""been""","La Jolla, CA, USA",Araae1
"""been"",""want"",""fave""","Boston, MA, USA",Araae1
"""been""","The Colony, TX, USA",Araae1
"""been""","Sherman, TX, USA",Araae1
"""been""","New Orleans, LA, USA",Araae1
"""been""","Dallas, TX, USA",Araae1
"""been""","Denver, CO, USA",Araae1
"""been"",""want""","New York City, NY, USA",Araae1
"""want""","Anchorage, AK, USA",Araae1
"""been""","Roatan, Honduras",Araae1
"""been""","Ruidoso, NM, USA",Araae1
