tag,place,user
"""want""","San Bernardino, CA, USA",Avivadarling
"""want""","Tupelo, MS, USA",Avivadarling
"""want""","Houston, TX, USA",Avivadarling
"""been""","Boston, MA, USA",Avivadarling
"""want""","Hvar, Croatia",Avivadarling
"""want""","New Orleans, LA, USA",Avivadarling
"""been""","Honolulu, HI, USA",Avivadarling
"""been""","Lido di Venezia, Italy",Avivadarling
"""been""","Roissy-en-France, France",Avivadarling
"""been""","Bangkok, Thailand",Avivadarling
"""want""","Riga, Latvia",Avivadarling
"""been""","Gibraltar, Europe",Avivadarling
"""want""","Oslo, Norway",Avivadarling
"""want""","Helsinki, Finland",Avivadarling
"""been""","Dubai, United Arab Emirates",Avivadarling
"""been""","Venice, Italy",Avivadarling
"""been""","Hong Kong, China",Avivadarling
"""been""","St. Anton am Arlberg, Austria",Avivadarling
"""been""","West Hollywood, CA, USA",Avivadarling
"""been""","Madrid, Spain",Avivadarling
"""been""","Basel, Switzerland",Avivadarling
"""been""","Rancho Mirage, CA, USA",Avivadarling
"""been""","South San Francisco, CA, USA",Avivadarling
"""want""","Seattle, WA, USA",Avivadarling
"""want""","Visby, Sweden",Avivadarling
"""been""","Bern, Switzerland",Avivadarling
"""been""","Altea, Spain",Avivadarling
"""been""","Twentynine Palms, CA, USA",Avivadarling
"""want""","Trondheim, Norway",Avivadarling
"""been""","El Arenal, Spain",Avivadarling
"""want""","Cape Town Central, South Africa",Avivadarling
"""want""","Tampere, Finland",Avivadarling
"""want""","Turku, Finland",Avivadarling
"""been""","Cernobbio, Italy",Avivadarling
"""been""","Calpe, Spain",Avivadarling
"""been""","Benidorm, Spain",Avivadarling
"""been""","Catania, Italy",Avivadarling
"""been""","Fujairah, United Arab Emirates",Avivadarling
"""been""","Santa Ponsa, Spain",Avivadarling
"""been""","Cape Canaveral, FL, USA",Avivadarling
"""been""","Titisee-Neustadt, Germany",Avivadarling
"""been""","Cape Coral, FL, USA",Avivadarling
"""been""","San Luis Obispo, CA, USA",Avivadarling
"""been""","Mykonos Town, Greece",Avivadarling
"""been""","Lucerne, Switzerland",Avivadarling
"""been""","Calvi, France",Avivadarling
"""been""","Monterey, CA, USA",Avivadarling
"""been""","Lee Vining, CA, USA",Avivadarling
"""been""","Pasadena, CA, USA",Avivadarling
"""been""","Fiesole, Italy",Avivadarling
"""been""","Florence, Italy",Avivadarling
"""want""","Lund, Sweden",Avivadarling
"""been""","Malmo, Sweden",Avivadarling
"""been""","Palermo, Italy",Avivadarling
"""want""","Tahoe City, CA, USA",Avivadarling
"""want""","Berkeley, CA, USA",Avivadarling
"""been""","Estoril, Portugal",Avivadarling
"""been""","St. Gallen, Switzerland",Avivadarling
"""been""","Lisbon, Portugal",Avivadarling
"""been""","Saint Florent, France",Avivadarling
"""been""","Fort Lauderdale, FL, USA",Avivadarling
"""been""","Key West, FL, USA",Avivadarling
"""been""","Riccione, Italy",Avivadarling
"""been"",""fave""","Palm Springs, CA, USA",Avivadarling
"""been""","Mojave, CA, USA",Avivadarling
"""been""","Palm Desert, CA, USA",Avivadarling
"""been""","Giza, Egypt",Avivadarling
"""want""","Naples, Italy",Avivadarling
"""been""","Cairo, Egypt",Avivadarling
"""been""","Aswan, Egypt",Avivadarling
"""been""","Luxor, Egypt",Avivadarling
"""been""","Munich, Germany",Avivadarling
"""been""","Gstaad, Switzerland",Avivadarling
"""been""","Carlsbad, CA, USA",Avivadarling
"""been""","London, UK",Avivadarling
"""been""","Carmel, CA, USA",Avivadarling
"""been""","Desert Hot Springs, CA, USA",Avivadarling
"""been""","Liverpool, UK",Avivadarling
"""want""","Yokohama, Japan",Avivadarling
"""been""","Koblenz, Germany",Avivadarling
"""been""","Maui, HI, USA",Avivadarling
"""want""","Ischia Porto, Italy",Avivadarling
"""want""","Tiberias, Israel",Avivadarling
"""been""","Yosemite, KY, USA",Avivadarling
"""been""","Cocoa Beach, FL, USA",Avivadarling
"""want""","Shibuya, Japan",Avivadarling
"""want""","Shinjuku, Japan",Avivadarling
"""been""","Santa Monica, CA, USA",Avivadarling
"""been""","Abu Dhabi, United Arab Emirates",Avivadarling
"""been""","Lauderdale-By-The-Sea, FL, USA",Avivadarling
"""want""","Minato, Japan",Avivadarling
"""been""","Sharjah, United Arab Emirates",Avivadarling
"""want""","Tokyo, Japan",Avivadarling
"""been""","Mammoth Lakes, CA, USA",Avivadarling
"""been""","Morro Bay, CA, USA",Avivadarling
"""been""","Vienna, Austria",Avivadarling
"""been""","Sliema, Malta",Avivadarling
"""been""","Valletta, Malta",Avivadarling
"""been""","Casablanca, Morocco",Avivadarling
"""been""","Heidelberg, Germany",Avivadarling
"""been""","Istanbul, Turkey",Avivadarling
"""been""","Milan, Italy",Avivadarling
"""been""","Santa Barbara, CA, USA",Avivadarling
"""been""","Beverly Hills, CA, USA",Avivadarling
"""been""","Ventura, CA, USA",Avivadarling
"""want""","El Paso, TX, USA",Avivadarling
"""been""","Los Angeles, CA, USA",Avivadarling
"""been""","Pismo Beach, CA, USA",Avivadarling
"""want""","Mexico City, Mexico",Avivadarling
"""want""","Oaxaca, Mexico",Avivadarling
"""been""","New York City, NY, USA",Avivadarling
"""been""","Varese, Italy",Avivadarling
"""been""","Boulder City, NV, USA",Avivadarling
"""been""","Chicago, IL, USA",Avivadarling
"""been""","Ascona, Switzerland",Avivadarling
"""been""","Las Vegas, NV, USA",Avivadarling
"""been""","Algarve, Portugal",Avivadarling
"""want""","Papeete, French Polynesia",Avivadarling
"""been""","Turin, Italy",Avivadarling
"""want""","Buenos Aires, Argentina",Avivadarling
"""been""","Faro, Portugal",Avivadarling
"""been""","Indian Wells, CA, USA",Avivadarling
"""been""","Atlanta, GA, USA",Avivadarling
"""been""","Saint Julian's, Malta",Avivadarling
"""want""","Narita, Japan",Avivadarling
"""been""","Phoenix, AZ, USA",Avivadarling
"""been""","Vero Beach, FL, USA",Avivadarling
"""want""","Tromso, Norway",Avivadarling
"""want""","Rovaniemi, Finland",Avivadarling
"""been""","Manchester, UK",Avivadarling
"""been""","Viareggio, Italy",Avivadarling
"""want""","Jackson, NH, USA",Avivadarling
"""want""","Netanya, Israel",Avivadarling
"""want""","Krakow, Poland",Avivadarling
"""want""","Memphis, TN, USA",Avivadarling
"""been""","Malibu, CA, USA",Avivadarling
"""been""","West Palm Beach, FL, USA",Avivadarling
"""been""","Pollenca, Spain",Avivadarling
"""been""","Nice, France",Avivadarling
"""been""","Mougins, France",Avivadarling
"""been""","Playa d'en Bossa, Spain",Avivadarling
"""been""","Bal Harbour, FL, USA",Avivadarling
"""want""","Gothenburg, Sweden",Avivadarling
"""been""","Alicante, Spain",Avivadarling
"""want""","Sao Paulo, Brazil",Avivadarling
"""been""","Monument Valley, UT, USA",Avivadarling
"""been""","Monte-Carlo, Monaco",Avivadarling
"""been""","Bologna, Italy",Avivadarling
"""been""","Big Sur, CA, USA",Avivadarling
"""been""","Orlando, FL, USA",Avivadarling
"""want""","Portland, OR, USA",Avivadarling
"""been""","La Jolla, CA, USA",Avivadarling
"""been""","Yucca Valley, CA, USA",Avivadarling
"""been""","Port de Pollenca, Spain",Avivadarling
"""want""","Rio de Janeiro, Brazil",Avivadarling
"""been""","Haifa, Israel",Avivadarling
"""been""","Lausanne, Switzerland",Avivadarling
"""been""","Tel Aviv, Israel",Avivadarling
"""been""","Barcelona, Spain",Avivadarling
"""been""","Jerusalem, Israel",Avivadarling
"""been""","Amman, Jordan",Avivadarling
"""been""","Hurghada, Egypt",Avivadarling
"""been""","Boca Raton, FL, USA",Avivadarling
"""been""","Port d'Andratx, Spain",Avivadarling
"""been""","Amsterdam, The Netherlands",Avivadarling
"""want""","Marina del Rey, CA, USA",Avivadarling
"""been""","Pontresina, Switzerland",Avivadarling
"""been""","Paris, France",Avivadarling
"""been""","Bastia, France",Avivadarling
"""been""","Santa Margherita Ligure, Italy",Avivadarling
"""been""","Konstanz, Germany",Avivadarling
"""been""","Portofino, Italy",Avivadarling
"""been""","La Spezia, Italy",Avivadarling
"""been"",""fave""","Zurich, Switzerland",Avivadarling
"""been""","Genoa, Italy",Avivadarling
"""want""","Grindelwald, Switzerland",Avivadarling
"""want""","Boulder, CO, USA",Avivadarling
"""want""","Wengen, Switzerland",Avivadarling
"""been""","Forte Dei Marmi, Italy",Avivadarling
"""want""","Davao City, Philippines",Avivadarling
"""want""","Vatican City, Vatican City",Avivadarling
"""been""","Murano, Italy",Avivadarling
"""want""","Manila, Philippines",Avivadarling
"""been""","Reykjavik, Iceland",Avivadarling
"""been"",""fave""","Stockholm, Sweden",Avivadarling
"""want""","Brooklyn, NY, USA",Avivadarling
"""been""","Porto, Portugal",Avivadarling
"""been""","Port d'Alcudia, Spain",Avivadarling
"""been""","St. Moritz, Switzerland",Avivadarling
"""been""","San Francisco, CA, USA",Avivadarling
"""want""","Nashville, IN, USA",Avivadarling
"""been""","Berlin, Germany",Avivadarling
"""been""","Zermatt, Switzerland",Avivadarling
"""want""","Johannesburg, South Africa",Avivadarling
"""been""","Aqaba, Jordan",Avivadarling
"""been""","Palm Beach, FL, USA",Avivadarling
"""been""","Miami, FL, USA",Avivadarling
"""been""","Miami Beach, FL, USA",Avivadarling
"""been""","Lech, Austria",Avivadarling
"""want""","Hamburg, Germany",Avivadarling
"""want""","Uppsala, Sweden",Avivadarling
"""been""","Frankfurt, Germany",Avivadarling
"""want""","Roswell, NM, USA",Avivadarling
"""been""","Lecce, Italy",Avivadarling
"""want""","Nashville, TN, USA",Avivadarling
"""want""","Burbank, CA, USA",Avivadarling
"""want""","Ein Bokek, Israel",Avivadarling
"""been""","Anaheim, CA, USA",Avivadarling
"""been""","Frejus, France",Avivadarling
"""been""","St. Paul's Bay, Malta",Avivadarling
"""want""","Fukuoka, Japan",Avivadarling
"""want""","Bergen, Norway",Avivadarling
"""been""","Palma de Mallorca, Spain",Avivadarling
"""been""","Cannes, France",Avivadarling
"""want""","Kobe, Japan",Avivadarling
"""been""","Coronado, CA, USA",Avivadarling
"""want""","Austin, TX, USA",Avivadarling
"""want""","Hiroshima, Japan",Avivadarling
"""want""","Sapporo, Japan",Avivadarling
"""been""","Juan-les-Pins, France",Avivadarling
"""want""","Osaka, Japan",Avivadarling
"""want""","Kyoto, Japan",Avivadarling
