tag,place,user
"""been""","London, UK",Banjax
"""been""","Pasadena, CA, USA",Banjax
"""been""","Siena, Italy",Banjax
"""been""","Istanbul, Turkey",Banjax
"""been""","Washington DC, DC, USA",Banjax
"""been""","Chartres, France",Banjax
"""been""","Athens, Greece",Banjax
"""been""","Pamukkale, Turkey",Banjax
"""been"",""want""","Berlin, Germany",Banjax
"""been""","Los Angeles, CA, USA",Banjax
"""been""","Miami Beach, FL, USA",Banjax
"""been""","Bruges, Belgium",Banjax
"""been""","New York City, NY, USA",Banjax
"""been""","Boston, MA, USA",Banjax
"""been""","Las Vegas, NV, USA",Banjax
"""been""","Durrus, Ireland",Banjax
"""been""","Bodrum City, Turkey",Banjax
"""been""","Malaga, Spain",Banjax
"""been""","Triopetra, Greece",Banjax
"""been""","York, UK",Banjax
"""been""","Brussels, Belgium",Banjax
"""been""","Lucca, Italy",Banjax
"""been""","Madrid, Spain",Banjax
"""been""","Ige, France",Banjax
"""been""","Venice, Italy",Banjax
"""been""","Barcelona, Spain",Banjax
"""been""","Crete, Greece",Banjax
"""been""","Florence, Italy",Banjax
"""been""","Rome, Italy",Banjax
"""been""","Old Saybrook, CT, USA",Banjax
"""been""","Algarve, Portugal",Banjax
"""been""","Philadelphia, PA, USA",Banjax
"""been""","Krakow, Poland",Banjax
"""been""","Amiens, France",Banjax
"""been""","Taroudant, Morocco",Banjax
"""been""","Essaouira, Morocco",Banjax
"""been""","Fornalutx, Spain",Banjax
