tag,place,user
"""been""","Cartagena, Colombia",BroncoLvrs
"""been""","Colorado Springs, CO, USA",BroncoLvrs
"""been""","Oranjestad, Aruba",BroncoLvrs
"""been""","Key West, FL, USA",BroncoLvrs
"""been""","Midway, UT, USA",BroncoLvrs
"""want""","Lake Louise, Alberta, Canada",BroncoLvrs
"""been""","Miami, FL, USA",BroncoLvrs
"""been""","Estes Park, CO, USA",BroncoLvrs
"""been""","Long Beach, CA, USA",BroncoLvrs
"""been""","Grassy Key, FL, USA",BroncoLvrs
"""been""","Panama City, Panama",BroncoLvrs
