tag,place,user
"""been""","Reno, NV, USA",Busmans_Holiday03
"""been""","Stateline, NV, USA",Busmans_Holiday03
"""been""","South Lake Tahoe, CA, USA",Busmans_Holiday03
"""been""","Fountain Hills, AZ, USA",Busmans_Holiday03
"""been""","Champion, PA, USA",Busmans_Holiday03
"""been""","Telluride, CO, USA",Busmans_Holiday03
"""been""","Beaver Creek, CO, USA",Busmans_Holiday03
"""been""","Phoenix, AZ, USA",Busmans_Holiday03
"""been""","New York City, NY, USA",Busmans_Holiday03
"""been""","Scottsdale, AZ, USA",Busmans_Holiday03
"""been""","Phippsburg, ME, USA",Busmans_Holiday03
"""been""","Paris, France",Busmans_Holiday03
"""been""","Berlin, Germany",Busmans_Holiday03
"""been""","Salt Lake City, UT, USA",Busmans_Holiday03
"""been""","Peabody, MA, USA",Busmans_Holiday03
"""been""","Vancouver, British Columbia, Canada",Busmans_Holiday03
"""been""","Las Vegas, NV, USA",Busmans_Holiday03
"""been""","Boston, MA, USA",Busmans_Holiday03
"""been""","Montego Bay, Jamaica",Busmans_Holiday03
"""been""","Waltham, MA, USA",Busmans_Holiday03
"""been""","Marblehead, MA, USA",Busmans_Holiday03
"""been""","Seven Springs, PA, USA",Busmans_Holiday03
"""been""","Rancho Palos Verdes, CA, USA",Busmans_Holiday03
"""been""","Tucson, AZ, USA",Busmans_Holiday03
"""been""","Sebasco Estates, ME, USA",Busmans_Holiday03
"""been""","San Diego, CA, USA",Busmans_Holiday03
"""been""","Coronado, CA, USA",Busmans_Holiday03
"""been""","Danvers, MA, USA",Busmans_Holiday03
"""been""","Park City, UT, USA",Busmans_Holiday03
