tag,place,user
"""been""","San Diego, CA, USA",Bx2L
"""been""","Bowling Green, KY, USA",Bx2L
"""been""","London, KY, USA",Bx2L
"""been""","Harrogate, TN, USA",Bx2L
"""been""","Cumberland Gap, TN, USA",Bx2L
"""been""","Muir Beach, CA, USA",Bx2L
"""been""","Marina del Rey, CA, USA",Bx2L
"""been""","Greenville, SC, USA",Bx2L
"""been""","Mill Valley, CA, USA",Bx2L
"""been""","Estes Park, CO, USA",Bx2L
"""been""","Richmond, KY, USA",Bx2L
"""been""","Culver City, CA, USA",Bx2L
"""been""","Middlesboro, KY, USA",Bx2L
"""been""","Lexington, KY, USA",Bx2L
"""been""","New York City, NY, USA",Bx2L
"""been""","Aurora, CO, USA",Bx2L
"""been""","Orlando, FL, USA",Bx2L
"""been""","Knoxville, TN, USA",Bx2L
"""been""","Irvine, CA, USA",Bx2L
"""been""","Dallas, TX, USA",Bx2L
"""been""","Los Angeles, CA, USA",Bx2L
"""been""","Louisville, KY, USA",Bx2L
"""been""","Oakhurst, CA, USA",Bx2L
"""been""","Saint Louis, MO, USA",Bx2L
"""been""","San Francisco, CA, USA",Bx2L
"""been""","Atlanta, GA, USA",Bx2L
