tag,place,user
"""been""","Las Vegas, NV, USA",C3203ZQcarolp
"""want""","Rome, Italy",C3203ZQcarolp
"""been""","Pindamonhangaba, Brazil",C3203ZQcarolp
"""been""","Westlake, OH, USA",C3203ZQcarolp
"""want""","Paris, France",C3203ZQcarolp
"""want""","Barcelona, Spain",C3203ZQcarolp
"""been""","Orlando, FL, USA",C3203ZQcarolp
"""been""","Campos Do Jordao, Brazil",C3203ZQcarolp
"""been""","Sao Bernardo Do Campo, Brazil",C3203ZQcarolp
"""been""","Santo Andre, Brazil",C3203ZQcarolp
"""been""","New York City, NY, USA",C3203ZQcarolp
"""want""","London, UK",C3203ZQcarolp
"""been""","Avon, OH, USA",C3203ZQcarolp
"""been""","Santa Monica, CA, USA",C3203ZQcarolp
"""been""","Ilhabela, Brazil",C3203ZQcarolp
