tag,place,user
"""been""","Santa Monica, CA, USA",CactusRose
"""been""","Positano, Italy",CactusRose
"""been""","Marseille, France",CactusRose
"""been""","La Paz, Bolivia",CactusRose
"""been""","Mykonos, Greece",CactusRose
"""been""","Broadbeach, Australia",CactusRose
"""been""","Pienza, Italy",CactusRose
"""been""","Belstone, UK",CactusRose
"""been""","Alexandria, Egypt",CactusRose
"""been""","Figueira da Foz, Portugal",CactusRose
"""been""","Le Barroux, France",CactusRose
"""been""","Villefranche-sur-Mer, France",CactusRose
"""been""","Jimbaran, Indonesia",CactusRose
"""been""","Kuta, Indonesia",CactusRose
"""been""","Gigondas, France",CactusRose
"""been""","Hahei, New Zealand",CactusRose
"""been""","Petra - Wadi Musa, Jordan",CactusRose
"""been""","Sintra, Portugal",CactusRose
"""been""","Salerno, Italy",CactusRose
"""been""","Amalfi, Italy",CactusRose
"""been""","Ouarzazate, Morocco",CactusRose
"""been""","Lisbon, Portugal",CactusRose
"""been""","Ait Ben Haddou, Morocco",CactusRose
"""been""","Barcelona, Spain",CactusRose
"""been""","Chefchaouen, Morocco",CactusRose
"""been""","Florence, Italy",CactusRose
"""been""","Manarola, Italy",CactusRose
"""been""","Corniglia, Italy",CactusRose
"""been""","Crillon-le-Brave, France",CactusRose
"""been""","Los Angeles, CA, USA",CactusRose
"""been""","Dublin, Ireland",CactusRose
"""been""","Appledore, UK",CactusRose
"""been""","Levanto, Italy",CactusRose
"""been""","Lake Tekapo, New Zealand",CactusRose
"""been""","Galmpton, UK",CactusRose
"""been""","Ischia Porto, Italy",CactusRose
"""been""","Hastings, New Zealand",CactusRose
"""been""","Rome, Italy",CactusRose
"""been""","Giza, Egypt",CactusRose
"""been""","Vernazza, Italy",CactusRose
"""been""","Capri, Italy",CactusRose
"""been""","Sorrento, Italy",CactusRose
"""been""","Paris, France",CactusRose
"""been""","Naples, Italy",CactusRose
"""been""","Taddamoute, Morocco",CactusRose
"""been""","Nelson, New Zealand",CactusRose
"""been""","Okehampton, UK",CactusRose
"""been""","London, UK",CactusRose
"""been""","Dittisham, UK",CactusRose
"""been""","Oamaru, New Zealand",CactusRose
"""been""","Aswan, Egypt",CactusRose
"""been""","Widecombe in the Moor, UK",CactusRose
"""been""","Venasque, France",CactusRose
"""been""","Luxor, Egypt",CactusRose
"""been""","Ischia, Italy",CactusRose
"""been""","Porto, Portugal",CactusRose
"""been""","Forio, Italy",CactusRose
"""been""","Ravello, Italy",CactusRose
"""been""","Hue, Vietnam",CactusRose
