tag,place,user
"""been""","Playa Blanca, Spain",CairaO
"""been""","Cancun, Mexico",CairaO
"""want""","Honolulu, HI, USA",CairaO
"""been""","Manchester, UK",CairaO
"""been""","Florence, Italy",CairaO
"""been"",""fave""","New York City, NY, USA",CairaO
"""want""","Seville, Spain",CairaO
"""been""","Paris, France",CairaO
"""want""","Rome, Italy",CairaO
"""been"",""fave""","London, UK",CairaO
"""want""","Kuala Lumpur, Malaysia",CairaO
"""want""","Marrakech, Morocco",CairaO
"""been""","Dublin, Ireland",CairaO
"""been""","Beverly Hills, CA, USA",CairaO
"""been""","Nottingham, UK",CairaO
"""been""","Krakow, Poland",CairaO
"""been""","Liverpool, UK",CairaO
"""been""","Burton upon Trent, UK",CairaO
"""been""","Toronto, Ontario, Canada",CairaO
"""want""","Havana, Cuba",CairaO
"""want""","Tokyo, Japan",CairaO
"""want""","Miami Beach, FL, USA",CairaO
"""been""","Amsterdam, The Netherlands",CairaO
"""been""","Los Angeles, CA, USA",CairaO
