tag,place,user
"""been""","San Francisco, CA, USA",CaliAngel
"""been""","Baltimore, MD, USA",CaliAngel
"""been""","Fort Lauderdale, FL, USA",CaliAngel
"""been""","Phoenix, AZ, USA",CaliAngel
"""been""","Bologna, Italy",CaliAngel
"""been""","Santa Monica, CA, USA",CaliAngel
"""been""","Kauai, HI, USA",CaliAngel
"""been""","Bangkok, Thailand",CaliAngel
"""been""","Tulum, Mexico",CaliAngel
"""been""","Las Vegas, NV, USA",CaliAngel
"""been""","Manila, Philippines",CaliAngel
"""been""","Nice, France",CaliAngel
"""been""","Anaheim, CA, USA",CaliAngel
"""been""","Rome, Italy",CaliAngel
"""been""","Miami Beach, FL, USA",CaliAngel
"""been""","Venice, Italy",CaliAngel
"""been""","Miami, FL, USA",CaliAngel
"""been""","Washington DC, DC, USA",CaliAngel
"""been""","Maui, HI, USA",CaliAngel
"""been""","Houston, TX, USA",CaliAngel
"""been""","Hong Kong, China",CaliAngel
"""been""","South Lake Tahoe, CA, USA",CaliAngel
"""been""","Los Angeles, CA, USA",CaliAngel
"""been""","La Jolla, CA, USA",CaliAngel
"""been""","Portland, OR, USA",CaliAngel
"""been""","Santa Barbara, CA, USA",CaliAngel
"""been""","New York City, NY, USA",CaliAngel
"""been"",""fave""","Honolulu, HI, USA",CaliAngel
"""been""","Puerto Vallarta, Mexico",CaliAngel
"""been""","San Jose, CA, USA",CaliAngel
"""been""","Carlsbad, CA, USA",CaliAngel
"""been""","San Diego, CA, USA",CaliAngel
"""been""","Paris, France",CaliAngel
"""been""","Victoria, British Columbia, Canada",CaliAngel
"""been""","Cancun, Mexico",CaliAngel
"""been""","Singapore, Singapore",CaliAngel
"""been""","Palm Springs, CA, USA",CaliAngel
"""been""","Long Beach, CA, USA",CaliAngel
