tag,place,user
"""been""","Cape Coral, FL, USA",CandiceM416
"""been""","Los Angeles, CA, USA",CandiceM416
"""been""","La Jolla, CA, USA",CandiceM416
"""been""","Anna Maria, FL, USA",CandiceM416
"""been""","Tampa, FL, USA",CandiceM416
"""been""","Chicago, IL, USA",CandiceM416
"""been""","Castries, St. Lucia",CandiceM416
"""been""","Miami Beach, FL, USA",CandiceM416
"""been""","Brighton, UK",CandiceM416
"""been""","Siesta Key, FL, USA",CandiceM416
"""been""","Orlando, FL, USA",CandiceM416
"""been""","Miami, FL, USA",CandiceM416
"""been""","Las Vegas, NV, USA",CandiceM416
"""been""","New York City, NY, USA",CandiceM416
"""been""","Middletown, RI, USA",CandiceM416
"""been""","Laguna Beach, CA, USA",CandiceM416
"""been""","Englewood, FL, USA",CandiceM416
"""been""","Sydney, Australia",CandiceM416
"""been""","St. Petersburg, FL, USA",CandiceM416
"""been""","Angmering, UK",CandiceM416
"""been""","Half Moon Bay, CA, USA",CandiceM416
"""been""","Oxford, UK",CandiceM416
"""been""","Deal, UK",CandiceM416
"""been""","San Diego, CA, USA",CandiceM416
"""been""","Treasure Island, FL, USA",CandiceM416
"""been""","Edinburgh, UK",CandiceM416
"""been""","Beverly Hills, CA, USA",CandiceM416
"""been""","San Francisco, CA, USA",CandiceM416
"""been""","Port Charlotte, FL, USA",CandiceM416
"""been""","Sarasota, FL, USA",CandiceM416
"""been""","Paris, France",CandiceM416
"""been""","London, UK",CandiceM416
"""been""","Santa Monica, CA, USA",CandiceM416
"""been""","Clearwater, FL, USA",CandiceM416
"""been""","Boston, MA, USA",CandiceM416
"""been""","Newport, RI, USA",CandiceM416
"""been""","Naples, FL, USA",CandiceM416
"""been""","Burbank, CA, USA",CandiceM416
"""been""","Pittsburgh, PA, USA",CandiceM416
"""been""","Anaheim, CA, USA",CandiceM416
"""been""","Palm Springs, CA, USA",CandiceM416
"""been""","Long Beach, CA, USA",CandiceM416
"""been""","Palm Desert, CA, USA",CandiceM416
"""been""","Venice, Italy",CandiceM416
"""been""","Elounda, Greece",CandiceM416
"""been""","Fort Myers Beach, FL, USA",CandiceM416
"""been""","Kissimmee, FL, USA",CandiceM416
"""been""","Barnard, VT, USA",CandiceM416
"""been""","Woodstock, VT, USA",CandiceM416
