tag,place,user
"""been""","San Jose del Cabo, Mexico",CarmichaelVentura
"""been""","Santo Domingo, Dominican Republic",CarmichaelVentura
"""been""","Sitges, Spain",CarmichaelVentura
"""been""","Rancho Mirage, CA, USA",CarmichaelVentura
"""been""","Mecca, CA, USA",CarmichaelVentura
"""been""","Menifee, CA, USA",CarmichaelVentura
"""been""","Ontario, CA, USA",CarmichaelVentura
"""been""","Cabo San Lucas, Mexico",CarmichaelVentura
"""been""","Yelapa, Mexico",CarmichaelVentura
"""been""","Sayulita, Mexico",CarmichaelVentura
"""been""","Buenos Aires, Argentina",CarmichaelVentura
"""been""","Redondo Beach, CA, USA",CarmichaelVentura
"""been""","Oxnard, CA, USA",CarmichaelVentura
"""been""","Ashland, OR, USA",CarmichaelVentura
"""been""","Ordino, Andorra",CarmichaelVentura
"""been""","Applegate, OR, USA",CarmichaelVentura
"""been""","Benidorm, Spain",CarmichaelVentura
"""been""","Jasper National Park, Alberta, Canada",CarmichaelVentura
"""been""","Draguignan, France",CarmichaelVentura
"""been""","Palm Desert, CA, USA",CarmichaelVentura
"""been""","Palmdale, CA, USA",CarmichaelVentura
"""been""","Guanajuato, Mexico",CarmichaelVentura
"""been""","Palm Springs, CA, USA",CarmichaelVentura
"""been""","Guadalajara, Mexico",CarmichaelVentura
"""been""","Monrovia, CA, USA",CarmichaelVentura
"""been""","Stamford, CT, USA",CarmichaelVentura
"""been""","Palo Alto, CA, USA",CarmichaelVentura
"""been""","San Blas, Mexico",CarmichaelVentura
"""been""","Puerto Vallarta, Mexico",CarmichaelVentura
"""been""","Madrid, Spain",CarmichaelVentura
"""been""","Avila, Spain",CarmichaelVentura
"""been""","Elizabethtown, KY, USA",CarmichaelVentura
"""been""","Brindisi, Italy",CarmichaelVentura
"""been""","Ciudad Juarez, Mexico",CarmichaelVentura
"""been""","Oxkutzcab, Mexico",CarmichaelVentura
"""been""","Montclair, CA, USA",CarmichaelVentura
"""been""","Murcia, Spain",CarmichaelVentura
"""been""","Pasadena, CA, USA",CarmichaelVentura
"""been""","Topanga, CA, USA",CarmichaelVentura
"""been""","Cartagena, Colombia",CarmichaelVentura
"""been""","Puno, Peru",CarmichaelVentura
"""been""","Rotterdam, The Netherlands",CarmichaelVentura
"""been""","London, UK",CarmichaelVentura
"""been""","Moorpark, CA, USA",CarmichaelVentura
"""been""","Swarthmore, PA, USA",CarmichaelVentura
"""been""","Leucadia, CA, USA",CarmichaelVentura
"""been""","Manistee, MI, USA",CarmichaelVentura
"""been""","Morro Bay, CA, USA",CarmichaelVentura
"""been""","Yuma, AZ, USA",CarmichaelVentura
"""been""","Todos Santos, Mexico",CarmichaelVentura
"""been""","San Felipe, Mexico",CarmichaelVentura
"""been""","Rosarito, Mexico",CarmichaelVentura
"""been""","Saginaw, MI, USA",CarmichaelVentura
"""been""","Loreto, Mexico",CarmichaelVentura
"""been""","La Paz, Mexico",CarmichaelVentura
"""been""","Ensenada, Mexico",CarmichaelVentura
"""been""","Encamp, Andorra",CarmichaelVentura
"""been""","Manuel Antonio, Costa Rica",CarmichaelVentura
"""been""","Pittsburgh, PA, USA",CarmichaelVentura
"""been""","Chiclayo, Peru",CarmichaelVentura
"""been""","Florence, Italy",CarmichaelVentura
"""been""","Perris, CA, USA",CarmichaelVentura
"""been""","Piste, Mexico",CarmichaelVentura
"""been""","Livermore, CA, USA",CarmichaelVentura
"""been""","Rutherford, CA, USA",CarmichaelVentura
"""been""","Huntington Beach, CA, USA",CarmichaelVentura
"""been""","Sacramento, CA, USA",CarmichaelVentura
"""been""","Guayaquil, Ecuador",CarmichaelVentura
"""been""","Holland, MI, USA",CarmichaelVentura
"""been""","Saugatuck, MI, USA",CarmichaelVentura
"""been""","Punta del Este, Uruguay",CarmichaelVentura
"""been""","Quepos, Costa Rica",CarmichaelVentura
"""been""","Mountain View, CA, USA",CarmichaelVentura
"""been""","Phoenix, AZ, USA",CarmichaelVentura
"""been""","Indian Wells, CA, USA",CarmichaelVentura
"""been""","Murrieta, CA, USA",CarmichaelVentura
"""been""","Imperial Beach, CA, USA",CarmichaelVentura
"""been""","Inglewood, CA, USA",CarmichaelVentura
"""been""","National City, CA, USA",CarmichaelVentura
"""been""","Lompoc, CA, USA",CarmichaelVentura
"""been""","Indio, CA, USA",CarmichaelVentura
"""been""","Long Beach, CA, USA",CarmichaelVentura
"""been""","Washington DC, DC, USA",CarmichaelVentura
"""been""","Las Vegas, NV, USA",CarmichaelVentura
"""been""","Cordoba, Spain",CarmichaelVentura
"""been""","Vatican City, Vatican City",CarmichaelVentura
"""been""","Rome, Italy",CarmichaelVentura
"""been""","Malaga, Spain",CarmichaelVentura
"""been""","San Jose, Costa Rica",CarmichaelVentura
"""been""","Brussels, Belgium",CarmichaelVentura
"""been""","Irvine, CA, USA",CarmichaelVentura
"""been""","Los Angeles, CA, USA",CarmichaelVentura
"""been""","Rio de Janeiro, Brazil",CarmichaelVentura
"""been""","Los Altos Hills, CA, USA",CarmichaelVentura
"""been""","Chicago, IL, USA",CarmichaelVentura
"""been""","Fresno, CA, USA",CarmichaelVentura
"""been""","Santos, Brazil",CarmichaelVentura
"""been""","Petropolis, Brazil",CarmichaelVentura
"""been""","Paraty, Brazil",CarmichaelVentura
"""been""","Athens, Greece",CarmichaelVentura
"""been""","Split, Croatia",CarmichaelVentura
"""been""","Dubrovnik, Croatia",CarmichaelVentura
"""been""","Juan-les-Pins, France",CarmichaelVentura
"""been""","Copacabana, Bolivia",CarmichaelVentura
"""been""","Rehoboth Beach, DE, USA",CarmichaelVentura
"""been""","San Juan, Puerto Rico",CarmichaelVentura
"""been""","Tustin, CA, USA",CarmichaelVentura
"""been""","Avalon, CA, USA",CarmichaelVentura
"""been""","Taos Ski Valley, NM, USA",CarmichaelVentura
"""been""","Uruapan, Mexico",CarmichaelVentura
"""been""","Antibes, France",CarmichaelVentura
"""been""","Arroyo Grande, CA, USA",CarmichaelVentura
"""been""","Teton Village, WY, USA",CarmichaelVentura
"""been""","San Miguel de Allende, Mexico",CarmichaelVentura
"""been""","Saint-Tropez, France",CarmichaelVentura
"""been""","Skopje, Republic of North Macedonia",CarmichaelVentura
"""been""","Simi Valley, CA, USA",CarmichaelVentura
"""been""","Dunedin, FL, USA",CarmichaelVentura
"""been""","Villefranche-sur-Mer, France",CarmichaelVentura
"""been""","Molokai, HI, USA",CarmichaelVentura
"""been""","Oahu, HI, USA",CarmichaelVentura
"""been""","Maui, HI, USA",CarmichaelVentura
"""been""","Regina, Saskatchewan, Canada",CarmichaelVentura
"""been""","Arcata, CA, USA",CarmichaelVentura
"""been""","Arcadia, CA, USA",CarmichaelVentura
"""been""","Naalehu, HI, USA",CarmichaelVentura
"""been""","Nice, France",CarmichaelVentura
"""been""","Sainte-Maxime, France",CarmichaelVentura
