tag,place,user
"""been""","Banff, Alberta, Canada",Cheryl103
"""been""","Niagara Falls, Ontario, Canada",Cheryl103
"""want""","Canberra, Australia",Cheryl103
"""been""","Medford, MA, USA",Cheryl103
"""been""","Washington DC, DC, USA",Cheryl103
"""been""","Montpellier, France",Cheryl103
"""been""","Rome, Italy",Cheryl103
"""want""","Kailua-Kona, HI, USA",Cheryl103
"""been""","South Lee, MA, USA",Cheryl103
"""been""","Edmonton, Alberta, Canada",Cheryl103
"""been""","Glendale, CA, USA",Cheryl103
"""been""","Calgary, Alberta, Canada",Cheryl103
"""been""","Jasper, Alberta, Canada",Cheryl103
"""been""","Kennebunkport, ME, USA",Cheryl103
"""been"",""want"",""fave""","Anchorage, AK, USA",Cheryl103
"""been""","Lyon, France",Cheryl103
"""been""","Charleston, SC, USA",Cheryl103
"""been""","East Sandwich, MA, USA",Cheryl103
"""want""","Amalfi, Italy",Cheryl103
"""been""","New York City, NY, USA",Cheryl103
"""been""","Charlotte Amalie, U.S. Virgin Islands",Cheryl103
"""been""","Chamonix, France",Cheryl103
"""been""","Oranjestad, Aruba",Cheryl103
"""been""","Amsterdam, The Netherlands",Cheryl103
"""been""","Mashpee, MA, USA",Cheryl103
"""been""","Palm - Eagle Beach, Aruba",Cheryl103
"""been""","London, UK",Cheryl103
"""been""","Sedona, AZ, USA",Cheryl103
"""been""","Key Largo, FL, USA",Cheryl103
"""been""","Scottsdale, AZ, USA",Cheryl103
"""been""","Winthrop, MA, USA",Cheryl103
"""been""","Paris, France",Cheryl103
"""been""","West Hollywood, CA, USA",Cheryl103
"""been""","Newton, MA, USA",Cheryl103
"""been""","Miami Beach, FL, USA",Cheryl103
"""been"",""want""","Los Angeles, CA, USA",Cheryl103
"""been""","Tampa, FL, USA",Cheryl103
"""been""","Wellesley, MA, USA",Cheryl103
"""want""","Christchurch, New Zealand",Cheryl103
"""want""","Wailea, HI, USA",Cheryl103
"""been""","Anaheim, CA, USA",Cheryl103
"""been""","Kanazawa, Japan",Cheryl103
"""want""","Springfield, MO, USA",Cheryl103
"""been""","Marseille, France",Cheryl103
"""been""","Atlanta, GA, USA",Cheryl103
"""been""","Somerville, MA, USA",Cheryl103
"""been"",""want""","Albuquerque, NM, USA",Cheryl103
"""been""","Ocho Rios, Jamaica",Cheryl103
"""been""","Merida, Mexico",Cheryl103
"""want""","Savannah, GA, USA",Cheryl103
"""been""","Isle of Palms, SC, USA",Cheryl103
"""want""","Austin, TX, USA",Cheryl103
"""been""","Florence, Italy",Cheryl103
"""been""","Spring Valley, NY, USA",Cheryl103
"""want""","Valencia, Spain",Cheryl103
"""been""","Montreal, Quebec, Canada",Cheryl103
"""been""","Ogunquit, ME, USA",Cheryl103
"""been"",""want""","Las Vegas, NV, USA",Cheryl103
"""been""","Waltham, MA, USA",Cheryl103
"""been""","Quebec City, Quebec, Canada",Cheryl103
"""been""","Taos, NM, USA",Cheryl103
"""been""","Hershey, PA, USA",Cheryl103
"""been""","Dickinson, ND, USA",Cheryl103
"""want""","Vilnius, Lithuania",Cheryl103
"""been""","Tavernier, FL, USA",Cheryl103
"""been""","Peabody, MA, USA",Cheryl103
"""been""","Wells, ME, USA",Cheryl103
"""been""","Dennis, MA, USA",Cheryl103
"""been""","Tokyo, Japan",Cheryl103
"""been""","Freeport, Bahamas",Cheryl103
"""been""","Providence, RI, USA",Cheryl103
"""been""","Newport Beach, CA, USA",Cheryl103
"""been""","Brooklyn, NY, USA",Cheryl103
"""been""","Scituate, MA, USA",Cheryl103
"""been""","Lake Placid, NY, USA",Cheryl103
"""been""","Bar Harbor, ME, USA",Cheryl103
"""been""","Niagara Falls, NY, USA",Cheryl103
"""been""","Maho, St Martin \u002F St Maarten",Cheryl103
"""been""","Carlsbad Caverns National Park, NM, USA",Cheryl103
"""been""","Venice, Italy",Cheryl103
"""been""","Mont Tremblant, Quebec, Canada",Cheryl103
"""been""","Lee, MA, USA",Cheryl103
"""been""","Beverly Hills, CA, USA",Cheryl103
"""been""","Philadelphia, PA, USA",Cheryl103
"""been""","San Francisco, CA, USA",Cheryl103
"""want""","San Antonio, TX, USA",Cheryl103
"""been""","Santa Barbara, CA, USA",Cheryl103
"""been""","Santa Fe, NM, USA",Cheryl103
"""been""","Portland, ME, USA",Cheryl103
"""want""","Gothenburg, Sweden",Cheryl103
"""been""","Toronto, Ontario, Canada",Cheryl103
"""want""","Long Beach, CA, USA",Cheryl103
"""been""","Fountain Valley, CA, USA",Cheryl103
"""been""","Atlantic City, NJ, USA",Cheryl103
"""been""","Cochiti Pueblo, NM, USA",Cheryl103
"""been""","Raleigh, NC, USA",Cheryl103
"""been""","Santa Monica, CA, USA",Cheryl103
"""been""","Cancun, Mexico",Cheryl103
"""been""","Clearwater, FL, USA",Cheryl103
"""been""","Cannes, France",Cheryl103
"""been""","Mosca, CO, USA",Cheryl103
"""been""","Burbank, CA, USA",Cheryl103
"""been""","Rapid City, SD, USA",Cheryl103
"""been""","North Myrtle Beach, SC, USA",Cheryl103
"""been""","San Juan, Puerto Rico",Cheryl103
"""been""","Saint-Malo, France",Cheryl103
"""been""","North Conway, NH, USA",Cheryl103
"""been""","Orlando, FL, USA",Cheryl103
"""been""","La Jolla, CA, USA",Cheryl103
"""been""","Sturbridge, MA, USA",Cheryl103
"""been""","Flagstaff, AZ, USA",Cheryl103
"""been""","Stockbridge, MA, USA",Cheryl103
"""been""","Natick, MA, USA",Cheryl103
"""been""","Needham, MA, USA",Cheryl103
"""want""","Denver, CO, USA",Cheryl103
"""been""","Grand Case, St Martin \u002F St Maarten",Cheryl103
"""want""","Milan, Italy",Cheryl103
"""been""","Myrtle Beach, SC, USA",Cheryl103
"""been""","Rose Hall, Jamaica",Cheryl103
"""been""","Falmouth, MA, USA",Cheryl103
"""been""","New Orleans, LA, USA",Cheryl103
"""been"",""want""","Boston, MA, USA",Cheryl103
"""been""","Virginia Beach, VA, USA",Cheryl103
