tag,place,user
"""been""","Long Beach, CA, USA",ChezCarrere
"""been""","Reykjavik, Iceland",ChezCarrere
"""been""","Vatnajokull National Park, Iceland",ChezCarrere
"""been""","Rancho Palos Verdes, CA, USA",ChezCarrere
"""been""","Southampton, NY, USA",ChezCarrere
"""been""","Fernie, British Columbia, Canada",ChezCarrere
"""been""","Wilson, WY, USA",ChezCarrere
"""been""","Beverly Hills, CA, USA",ChezCarrere
"""been""","Istanbul, Turkey",ChezCarrere
"""been""","Denver, CO, USA",ChezCarrere
"""been""","Portland, OR, USA",ChezCarrere
"""been""","Huntington Beach, CA, USA",ChezCarrere
"""been""","Los Angeles, CA, USA",ChezCarrere
"""been""","Grindavik, Iceland",ChezCarrere
"""been""","Malibu, CA, USA",ChezCarrere
"""been""","Jackson, WY, USA",ChezCarrere
"""been""","Meguro, Japan",ChezCarrere
"""been""","Mammoth Lakes, CA, USA",ChezCarrere
"""been""","Kyoto, Japan",ChezCarrere
"""been""","Santa Monica, CA, USA",ChezCarrere
"""been""","Teton Village, WY, USA",ChezCarrere
"""been""","New York City, NY, USA",ChezCarrere
"""been""","Toronto, Ontario, Canada",ChezCarrere
"""been""","Camarillo, CA, USA",ChezCarrere
"""been""","Marina del Rey, CA, USA",ChezCarrere
"""been""","Montreal, Quebec, Canada",ChezCarrere
