tag,place,user
"""been""","Los Angeles, CA, USA",Chrisbry
"""been""","Keystone, CO, USA",Chrisbry
"""been""","Alamogordo, NM, USA",Chrisbry
"""been""","Hastings, NE, USA",Chrisbry
"""been""","Fremont, NE, USA",Chrisbry
"""been""","McCook, NE, USA",Chrisbry
"""been""","Miami, FL, USA",Chrisbry
"""been""","Algodones, NM, USA",Chrisbry
"""been""","West Des Moines, IA, USA",Chrisbry
"""been""","Miami Beach, FL, USA",Chrisbry
"""been""","Saint Joseph, MO, USA",Chrisbry
"""been""","Ankeny, IA, USA",Chrisbry
"""been""","North Platte, NE, USA",Chrisbry
"""been"",""fave""","Flagstaff, AZ, USA",Chrisbry
"""been""","Manhattan, KS, USA",Chrisbry
"""been""","Beatrice, NE, USA",Chrisbry
"""been"",""want""","Edinburgh, UK",Chrisbry
"""been""","Salina, KS, USA",Chrisbry
"""been""","Lakewood, CO, USA",Chrisbry
"""been"",""fave""","Des Moines, IA, USA",Chrisbry
"""been""","Council Bluffs, IA, USA",Chrisbry
"""been""","Marysville, KS, USA",Chrisbry
"""been""","Nebraska City, NE, USA",Chrisbry
"""been""","New Orleans, LA, USA",Chrisbry
"""been""","Topeka, KS, USA",Chrisbry
"""been""","Tustin, CA, USA",Chrisbry
"""been""","Chattanooga, TN, USA",Chrisbry
"""been""","Bellevue, NE, USA",Chrisbry
"""been""","West Yellowstone, MT, USA",Chrisbry
"""been"",""fave""","Pueblo, CO, USA",Chrisbry
"""been""","Shreveport, LA, USA",Chrisbry
"""been""","San Diego, CA, USA",Chrisbry
"""been""","Baton Rouge, LA, USA",Chrisbry
"""been""","Minden, NE, USA",Chrisbry
"""been""","Wichita, KS, USA",Chrisbry
"""been""","Santa Rosa, NM, USA",Chrisbry
"""been""","Lexington, NE, USA",Chrisbry
"""been""","Raton, NM, USA",Chrisbry
"""been""","Santa Monica, CA, USA",Chrisbry
"""been""","Omaha, NE, USA",Chrisbry
"""been""","Lincoln, NE, USA",Chrisbry
"""been""","North Kansas City, MO, USA",Chrisbry
"""been"",""fave""","Phoenix, AZ, USA",Chrisbry
"""been"",""fave""","Grand Junction, CO, USA",Chrisbry
"""been""","Winter Park, CO, USA",Chrisbry
"""been""","La Jolla, CA, USA",Chrisbry
"""been""","Orlando, FL, USA",Chrisbry
"""been""","Jackson, WY, USA",Chrisbry
"""been""","Kissimmee, FL, USA",Chrisbry
"""been""","Atlanta, GA, USA",Chrisbry
"""been""","Albuquerque, NM, USA",Chrisbry
"""been"",""fave""","Denver, CO, USA",Chrisbry
"""been""","Playa del Carmen, Mexico",Chrisbry
"""been""","Overland Park, KS, USA",Chrisbry
"""been""","Garden City, KS, USA",Chrisbry
"""been""","Kirksville, MO, USA",Chrisbry
"""been""","Indianola, NE, USA",Chrisbry
"""been""","Kearney, NE, USA",Chrisbry
"""been""","Riverton, WY, USA",Chrisbry
"""been"",""want"",""fave""","Tempe, AZ, USA",Chrisbry
"""been"",""fave""","Estes Park, CO, USA",Chrisbry
"""been""","Trinidad, CO, USA",Chrisbry
"""been""","Amarillo, TX, USA",Chrisbry
"""been""","Grand Island, NE, USA",Chrisbry
"""been""","Gothenburg, NE, USA",Chrisbry
"""been""","Dallas, TX, USA",Chrisbry
"""been""","Littleton, CO, USA",Chrisbry
"""been""","Aurora, CO, USA",Chrisbry
"""been""","Kansas City, KS, USA",Chrisbry
"""been""","Cambridge, NE, USA",Chrisbry
"""been""","Newton, KS, USA",Chrisbry
"""been""","Washington DC, DC, USA",Chrisbry
"""been""","York, NE, USA",Chrisbry
"""been""","Imperial, NE, USA",Chrisbry
"""been"",""fave""","Tucson, AZ, USA",Chrisbry
"""been""","Carrizozo, NM, USA",Chrisbry
"""been""","Curtis, NE, USA",Chrisbry
"""been""","Junction City, KS, USA",Chrisbry
"""been""","Cheyenne, WY, USA",Chrisbry
"""been""","Santa Fe, NM, USA",Chrisbry
"""been""","Colorado Springs, CO, USA",Chrisbry
"""been""","Hays, KS, USA",Chrisbry
"""been""","Ashland, NE, USA",Chrisbry
"""been""","Las Vegas, NM, USA",Chrisbry
"""been""","Tucumcari, NM, USA",Chrisbry
"""been""","Manitou Springs, CO, USA",Chrisbry
"""been""","Sterling, CO, USA",Chrisbry
"""been""","Thedford, NE, USA",Chrisbry
"""been""","Broken Bow, NE, USA",Chrisbry
"""been""","Teton Village, WY, USA",Chrisbry
"""been""","Cody, WY, USA",Chrisbry
"""been""","Simi Valley, CA, USA",Chrisbry
"""been""","Dodge City, KS, USA",Chrisbry
"""been"",""want""","Cancun, Mexico",Chrisbry
"""been""","Cozad, NE, USA",Chrisbry
"""been""","Burwell, NE, USA",Chrisbry
"""been""","Ogallala, NE, USA",Chrisbry
"""been""","Kansas City, MO, USA",Chrisbry
"""been""","Cripple Creek, CO, USA",Chrisbry
"""been""","Englewood, CO, USA",Chrisbry
"""been""","Sedona, AZ, USA",Chrisbry
"""been"",""fave""","Julesburg, CO, USA",Chrisbry
"""been""","Scottsdale, AZ, USA",Chrisbry
"""been""","Ayr, NE, USA",Chrisbry
"""been""","Independence, MO, USA",Chrisbry
