tag,place,user
"""been""","Cleveland, OH, USA",CincinnatiDavid
"""been""","Siesta Key, FL, USA",CincinnatiDavid
"""been""","Orlando, FL, USA",CincinnatiDavid
"""been""","La Jolla, CA, USA",CincinnatiDavid
"""been""","St. George, UT, USA",CincinnatiDavid
"""been""","Long Island City, NY, USA",CincinnatiDavid
"""been""","Denver, CO, USA",CincinnatiDavid
"""been""","Atlanta, GA, USA",CincinnatiDavid
"""been""","Baltimore, MD, USA",CincinnatiDavid
"""been""","Acadia National Park, ME, USA",CincinnatiDavid
"""been""","Fort Myers Beach, FL, USA",CincinnatiDavid
"""been""","San Jose, CA, USA",CincinnatiDavid
"""been""","Fort Myers, FL, USA",CincinnatiDavid
"""been"",""fave""","Savannah, GA, USA",CincinnatiDavid
"""been""","Carmel, CA, USA",CincinnatiDavid
"""been""","Bryce Canyon National Park, UT, USA",CincinnatiDavid
"""been""","Milwaukee, WI, USA",CincinnatiDavid
"""been""","Cambridge, MA, USA",CincinnatiDavid
"""been""","Sevierville, TN, USA",CincinnatiDavid
"""been""","Lancaster, PA, USA",CincinnatiDavid
"""been""","Hopkins, Belize",CincinnatiDavid
"""been""","Montauk, NY, USA",CincinnatiDavid
"""been""","Myrtle Beach, SC, USA",CincinnatiDavid
"""been""","San Juan, Puerto Rico",CincinnatiDavid
"""been""","Winston Salem, NC, USA",CincinnatiDavid
"""been""","Brooklyn, NY, USA",CincinnatiDavid
"""been""","Dangriga, Belize",CincinnatiDavid
"""been""","Detroit, MI, USA",CincinnatiDavid
"""been""","Augusta, GA, USA",CincinnatiDavid
"""been""","Grand Rapids, MI, USA",CincinnatiDavid
"""been""","Haifa, Israel",CincinnatiDavid
"""been""","Evansville, IN, USA",CincinnatiDavid
"""been""","Chattanooga, TN, USA",CincinnatiDavid
"""been""","Jerusalem, Israel",CincinnatiDavid
"""been""","Duck Creek Village, UT, USA",CincinnatiDavid
"""been""","Niagara Falls, NY, USA",CincinnatiDavid
"""been""","Breckenridge, CO, USA",CincinnatiDavid
"""been""","Columbus, OH, USA",CincinnatiDavid
"""been""","Boulder, CO, USA",CincinnatiDavid
"""been""","Santa Cruz, CA, USA",CincinnatiDavid
"""been""","Santa Barbara, CA, USA",CincinnatiDavid
"""been""","Palm Beach, FL, USA",CincinnatiDavid
"""been""","Montego Bay, Jamaica",CincinnatiDavid
"""been""","Ocho Rios, Jamaica",CincinnatiDavid
"""been""","Memphis, TN, USA",CincinnatiDavid
"""been"",""fave""","Emerald Isle, NC, USA",CincinnatiDavid
"""been""","Hana, HI, USA",CincinnatiDavid
"""been"",""fave""","Cincinnati, OH, USA",CincinnatiDavid
"""been""","Wailea, HI, USA",CincinnatiDavid
"""been""","Belize City, Belize",CincinnatiDavid
"""been""","Vero Beach, FL, USA",CincinnatiDavid
"""been""","Alexandria, VA, USA",CincinnatiDavid
"""been""","Long Beach, CA, USA",CincinnatiDavid
"""been""","Nashville, TN, USA",CincinnatiDavid
"""been""","Beaufort, SC, USA",CincinnatiDavid
"""been""","Pittsburgh, PA, USA",CincinnatiDavid
"""been""","Phoenix, AZ, USA",CincinnatiDavid
"""been""","Gulf Shores, AL, USA",CincinnatiDavid
"""been""","Wisconsin Dells, WI, USA",CincinnatiDavid
"""been""","Cocoa Beach, FL, USA",CincinnatiDavid
"""been""","Niagara Falls, Ontario, Canada",CincinnatiDavid
"""been""","Santa Monica, CA, USA",CincinnatiDavid
"""been""","Clearwater, FL, USA",CincinnatiDavid
"""been""","Jacksonville, FL, USA",CincinnatiDavid
"""been""","Raleigh, NC, USA",CincinnatiDavid
"""been""","New York City, NY, USA",CincinnatiDavid
"""been""","Omaha, NE, USA",CincinnatiDavid
"""been""","Miami Beach, FL, USA",CincinnatiDavid
"""been""","Miami, FL, USA",CincinnatiDavid
"""been""","Indian Rocks Beach, FL, USA",CincinnatiDavid
"""been""","Los Angeles, CA, USA",CincinnatiDavid
"""been""","Tampa, FL, USA",CincinnatiDavid
"""been""","Knoxville, TN, USA",CincinnatiDavid
"""been""","Tallahassee, FL, USA",CincinnatiDavid
"""been""","Durham, NC, USA",CincinnatiDavid
"""been""","Buffalo, NY, USA",CincinnatiDavid
"""been""","Longboat Key, FL, USA",CincinnatiDavid
