tag,place,user
"""been""","Paul, ID, USA",Colts9016
"""been""","Elba, ID, USA",Colts9016
"""been""","Carlsbad, NM, USA",Colts9016
"""been""","New York City, NY, USA",Colts9016
"""been""","Denver, CO, USA",Colts9016
"""been""","Riverdale, UT, USA",Colts9016
"""been""","Pratt, KS, USA",Colts9016
"""been""","Riverton, UT, USA",Colts9016
"""been""","Little Rock, AR, USA",Colts9016
"""been""","El Paso, TX, USA",Colts9016
"""been""","Livingston, MT, USA",Colts9016
"""been""","Camden, NJ, USA",Colts9016
"""been""","Vega, TX, USA",Colts9016
"""been""","Provo, UT, USA",Colts9016
"""been""","Shannon, Ireland",Colts9016
"""been""","Oakley, KS, USA",Colts9016
"""been""","Modesto, CA, USA",Colts9016
"""been""","Downey, ID, USA",Colts9016
"""been""","Driggs, ID, USA",Colts9016
"""been""","Willcox, AZ, USA",Colts9016
"""been""","Tikrit, Iraq",Colts9016
"""been""","Almo, ID, USA",Colts9016
"""been""","Pinedale, WY, USA",Colts9016
"""been""","Dove Creek, CO, USA",Colts9016
"""been""","Rogers, AR, USA",Colts9016
"""been""","Pocatello, ID, USA",Colts9016
"""been""","Price, UT, USA",Colts9016
"""been""","Filer, ID, USA",Colts9016
"""been""","Luther, OK, USA",Colts9016
"""been""","Wellington, KS, USA",Colts9016
"""been""","Fruita, CO, USA",Colts9016
"""been""","Cache, OK, USA",Colts9016
"""been""","Fort Sill, OK, USA",Colts9016
"""been""","Burlington, NJ, USA",Colts9016
"""been""","Dallas, TX, USA",Colts9016
"""been""","White Sands, NM, USA",Colts9016
"""been""","Lawrence, KS, USA",Colts9016
"""been""","Dayton, OH, USA",Colts9016
"""been""","Columbia, SC, USA",Colts9016
"""been""","Arco, ID, USA",Colts9016
"""been""","Colorado Springs, CO, USA",Colts9016
"""been""","Mountain Home, ID, USA",Colts9016
"""been""","Ponca City, OK, USA",Colts9016
"""been""","Rock Springs, WY, USA",Colts9016
"""been""","Pine Bluff, AR, USA",Colts9016
"""been""","Grand Island, NE, USA",Colts9016
"""been""","Broken Arrow, OK, USA",Colts9016
"""been""","Piedmont, OK, USA",Colts9016
"""been""","Kalispell, MT, USA",Colts9016
"""been""","Dalhart, TX, USA",Colts9016
