tag,place,user
"""been""","Marseille, France",Cottonwood2000
"""been""","Mexico City, Mexico",Cottonwood2000
"""been""","San Antonio, TX, USA",Cottonwood2000
"""been""","San Francisco, CA, USA",Cottonwood2000
"""been""","Phoenix, AZ, USA",Cottonwood2000
"""been""","Santa Fe, NM, USA",Cottonwood2000
"""been""","Garland, TX, USA",Cottonwood2000
"""been""","Hermosa Beach, CA, USA",Cottonwood2000
"""been""","Sundance, UT, USA",Cottonwood2000
"""been""","Idaho Falls, ID, USA",Cottonwood2000
"""been""","Kota Kinabalu, Malaysia",Cottonwood2000
"""been""","Tampa, FL, USA",Cottonwood2000
"""been""","Los Angeles, CA, USA",Cottonwood2000
"""been""","Miami, FL, USA",Cottonwood2000
"""been""","Las Vegas, NV, USA",Cottonwood2000
"""been""","Atlantic City, NJ, USA",Cottonwood2000
"""been""","Grand Canyon National Park, AZ, USA",Cottonwood2000
"""been""","Geneva, Switzerland",Cottonwood2000
"""been""","Miami Beach, FL, USA",Cottonwood2000
"""been""","Chicago, IL, USA",Cottonwood2000
"""been""","Cancun, Mexico",Cottonwood2000
"""been""","Playa del Carmen, Mexico",Cottonwood2000
"""been""","Shanghai, China",Cottonwood2000
"""been""","Tulsa, OK, USA",Cottonwood2000
"""been""","Portland, OR, USA",Cottonwood2000
"""been""","Plano, TX, USA",Cottonwood2000
"""been""","Hong Kong, China",Cottonwood2000
"""been""","Montreal, Quebec, Canada",Cottonwood2000
"""been""","Garden Grove, CA, USA",Cottonwood2000
"""been""","Gettysburg, PA, USA",Cottonwood2000
"""been""","Nice, France",Cottonwood2000
"""been""","Saint Louis, MO, USA",Cottonwood2000
"""been""","Beijing, China",Cottonwood2000
"""been""","Acapulco, Mexico",Cottonwood2000
"""been""","Heber City, UT, USA",Cottonwood2000
"""been""","Nashville, TN, USA",Cottonwood2000
"""been""","Albuquerque, NM, USA",Cottonwood2000
"""been""","Savannah, GA, USA",Cottonwood2000
"""been""","Bangkok, Thailand",Cottonwood2000
"""been""","Sandy, UT, USA",Cottonwood2000
"""been""","London, UK",Cottonwood2000
"""been""","Santa Barbara, CA, USA",Cottonwood2000
"""been""","Munich, Germany",Cottonwood2000
"""been""","Death Valley Junction, CA, USA",Cottonwood2000
"""been""","Taipei, Taiwan",Cottonwood2000
"""been""","Anaheim, CA, USA",Cottonwood2000
"""been""","Paris, France",Cottonwood2000
"""been""","Freeport, Bahamas",Cottonwood2000
"""been""","Annapolis, MD, USA",Cottonwood2000
"""been""","Amsterdam, The Netherlands",Cottonwood2000
"""been""","Edmonton, Alberta, Canada",Cottonwood2000
"""been""","Solitude, UT, USA",Cottonwood2000
"""been""","Sulphur Springs, TX, USA",Cottonwood2000
"""been""","Puerto Vallarta, Mexico",Cottonwood2000
"""been""","Salt Lake City, UT, USA",Cottonwood2000
"""been""","Springville, UT, USA",Cottonwood2000
"""been""","Memphis, TN, USA",Cottonwood2000
"""been""","Santa Monica, CA, USA",Cottonwood2000
"""been""","Spanish Fork, UT, USA",Cottonwood2000
"""been""","Mazatlan, Mexico",Cottonwood2000
"""been""","Dublin, Ireland",Cottonwood2000
"""been""","Buena Park, CA, USA",Cottonwood2000
"""been""","Park City, UT, USA",Cottonwood2000
"""been""","Mesquite, TX, USA",Cottonwood2000
"""been""","Panama City Beach, FL, USA",Cottonwood2000
"""been""","Petrified Forest National Park, AZ, USA",Cottonwood2000
"""been""","Baltimore, MD, USA",Cottonwood2000
"""been""","Napa, CA, USA",Cottonwood2000
"""been""","Jerusalem, Israel",Cottonwood2000
"""been""","Myrtle Beach, SC, USA",Cottonwood2000
"""been""","Provo, UT, USA",Cottonwood2000
"""been""","Seattle, WA, USA",Cottonwood2000
"""been""","Yellowstone National Park, WY, USA",Cottonwood2000
"""been""","Sedona, AZ, USA",Cottonwood2000
"""been""","Williamsburg, VA, USA",Cottonwood2000
"""been""","Carmel, CA, USA",Cottonwood2000
"""been""","Scottsdale, AZ, USA",Cottonwood2000
"""been""","Virginia Beach, VA, USA",Cottonwood2000
"""been""","Fort Myers Beach, FL, USA",Cottonwood2000
"""been""","Kissimmee, FL, USA",Cottonwood2000
"""been""","Cottonwood Heights, UT, USA",Cottonwood2000
"""been""","Midway, UT, USA",Cottonwood2000
"""been""","New York City, NY, USA",Cottonwood2000
"""been""","Cedar City, UT, USA",Cottonwood2000
"""been""","Denver, CO, USA",Cottonwood2000
"""been""","Cape Canaveral, FL, USA",Cottonwood2000
"""been""","Bethlehem, Palestinian Territories",Cottonwood2000
"""been""","Orlando, FL, USA",Cottonwood2000
"""been""","Singapore, Singapore",Cottonwood2000
"""been""","Berlin, Germany",Cottonwood2000
"""been""","San Juan, Puerto Rico",Cottonwood2000
"""been""","Keystone, SD, USA",Cottonwood2000
"""been""","Covington, VA, USA",Cottonwood2000
"""been""","Tokyo, Japan",Cottonwood2000
"""been""","Paris, TX, USA",Cottonwood2000
"""been""","San Diego, CA, USA",Cottonwood2000
"""been""","Lahaina, HI, USA",Cottonwood2000
"""been""","Washington DC, DC, USA",Cottonwood2000
"""been""","Stockholm, Sweden",Cottonwood2000
"""been""","Brussels, Belgium",Cottonwood2000
"""been""","Kuala Lumpur, Malaysia",Cottonwood2000
"""been""","Victoria, British Columbia, Canada",Cottonwood2000
"""been""","Vancouver, British Columbia, Canada",Cottonwood2000
"""been""","Lehi, UT, USA",Cottonwood2000
"""been""","Layton, UT, USA",Cottonwood2000
"""been""","Honolulu, HI, USA",Cottonwood2000
"""been""","Wallsburg, UT, USA",Cottonwood2000
"""been""","New Orleans, LA, USA",Cottonwood2000
"""been""","Longview, TX, USA",Cottonwood2000
"""been""","Boston, MA, USA",Cottonwood2000
"""been""","Columbia, MO, USA",Cottonwood2000
"""been""","Manchester, UK",Cottonwood2000
"""been""","Sarasota, FL, USA",Cottonwood2000
"""been""","Hilo, HI, USA",Cottonwood2000
"""been""","Osaka, Japan",Cottonwood2000
"""been""","Glasgow, UK",Cottonwood2000
"""been""","Dallas, TX, USA",Cottonwood2000
"""been""","Berg en Dal, The Netherlands",Cottonwood2000
"""been""","Moab, UT, USA",Cottonwood2000
"""been""","Houston, TX, USA",Cottonwood2000
"""been"",""fave""","Edinburgh, UK",Cottonwood2000
"""been""","Fort Lauderdale, FL, USA",Cottonwood2000
"""been""","Hamburg, Germany",Cottonwood2000
"""been""","Bloomington, MN, USA",Cottonwood2000
"""been""","Seoul, South Korea",Cottonwood2000
"""been""","Palm Springs, CA, USA",Cottonwood2000
