tag,place,user
"""been""","Mykonos, Greece",Couture7
"""been""","Mestre, Italy",Couture7
"""been""","Amesbury, UK",Couture7
"""been""","Santorini, Greece",Couture7
"""been""","Veere, The Netherlands",Couture7
"""been""","Florence, Italy",Couture7
"""been""","San Francisco, CA, USA",Couture7
"""been""","Burgh-Haamstede, The Netherlands",Couture7
"""been""","Nice, France",Couture7
"""want""","Barcelona, Spain",Couture7
"""been""","Venice, Italy",Couture7
"""been""","Rome, Italy",Couture7
"""been""","Siena, Italy",Couture7
"""been""","New York City, NY, USA",Couture7
"""been""","Honolulu, HI, USA",Couture7
"""been""","London, UK",Couture7
"""been""","Versailles, France",Couture7
"""been""","Los Angeles, CA, USA",Couture7
"""been""","Patmos, Greece",Couture7
"""been""","Antwerp, Belgium",Couture7
"""been""","Lignan-De-Bordeaux, France",Couture7
"""been""","Dallas, TX, USA",Couture7
"""been""","Windsor, UK",Couture7
"""been""","Milan, Italy",Couture7
"""been""","Selcuk, Turkey",Couture7
"""been""","Colleville-sur-Mer, France",Couture7
"""been""","Caen, France",Couture7
"""been""","Bruges, Belgium",Couture7
"""been""","Millbrae, CA, USA",Couture7
"""been""","Lisse, The Netherlands",Couture7
"""been""","Paris, France",Couture7
"""been""","Providence, RI, USA",Couture7
"""been""","Lyon, France",Couture7
"""been""","Giverny, France",Couture7
"""been"",""want""","Amsterdam, The Netherlands",Couture7
"""been""","Bath, UK",Couture7
"""been""","Fira, Greece",Couture7
"""been""","Bellagio, Italy",Couture7
"""been""","Frankfurt, Germany",Couture7
"""been""","Santa Monica, CA, USA",Couture7
"""been""","Ferno, Italy",Couture7
"""been""","Brussels, Belgium",Couture7
"""been""","Apeldoorn, The Netherlands",Couture7
"""been""","Greve in Chianti, Italy",Couture7
"""been""","Mykonos Town, Greece",Couture7
"""been""","Burlingame, CA, USA",Couture7
"""been""","Fourges, France",Couture7
"""been""","Ouwerkerk, The Netherlands",Couture7
