tag,place,user
"""want""","Lexington, KY, USA",Critter123
"""been""","Newport, RI, USA",Critter123
"""been""","Kapaa, HI, USA",Critter123
"""been""","Traverse City, MI, USA",Critter123
"""been""","Columbia, SC, USA",Critter123
"""been""","Creston, CA, USA",Critter123
"""been""","Calistoga, CA, USA",Critter123
"""been""","Cambria, CA, USA",Critter123
"""been""","Flagstaff, AZ, USA",Critter123
"""want""","Bergamo, Italy",Critter123
"""want""","Bellagio, Italy",Critter123
"""want""","Brasilia, Brazil",Critter123
"""want""","Isla Verde, Puerto Rico",Critter123
"""been""","Mazatlan, Mexico",Critter123
"""been""","Puerto Vallarta, Mexico",Critter123
"""been""","Waikoloa, HI, USA",Critter123
"""want""","Otranto, Italy",Critter123
"""been""","West Hollywood, CA, USA",Critter123
"""been""","Charleston, SC, USA",Critter123
"""want""","Madonna Di Campiglio, Italy",Critter123
"""been""","Banff, Alberta, Canada",Critter123
"""been""","Lake Louise, Alberta, Canada",Critter123
"""been""","Calgary, Alberta, Canada",Critter123
"""want""","Knoxville, TN, USA",Critter123
"""want""","Sirmione, Italy",Critter123
"""been""","Baveno, Italy",Critter123
"""been""","Nags Head, NC, USA",Critter123
"""been""","Kitty Hawk, NC, USA",Critter123
"""been"",""want""","Milan, Italy",Critter123
"""been""","Charlotte, NC, USA",Critter123
"""been""","Big Sur, CA, USA",Critter123
"""been""","San Antonio, TX, USA",Critter123
"""been""","Coronado, CA, USA",Critter123
"""want""","Santa Fe, NM, USA",Critter123
"""want""","Tropea, Italy",Critter123
"""want""","Brighton, UK",Critter123
"""been""","Milano Marittima, Italy",Critter123
"""want""","Viareggio, Italy",Critter123
"""been""","San Francisco, CA, USA",Critter123
"""want""","Buenos Aires, Argentina",Critter123
"""been""","Tucson, AZ, USA",Critter123
"""want""","Turin, Italy",Critter123
"""been""","Yosemite National Park, CA, USA",Critter123
"""been""","Ahwahnee, CA, USA",Critter123
"""been""","Duluth, MN, USA",Critter123
"""been""","Providence, RI, USA",Critter123
"""want""","Villasimius, Italy",Critter123
"""been""","Lucea, Jamaica",Critter123
"""been""","Anaheim, CA, USA",Critter123
"""been""","Sonoma, CA, USA",Critter123
"""been""","Ojai, CA, USA",Critter123
"""want""","Chattanooga, TN, USA",Critter123
"""been""","Miami, FL, USA",Critter123
"""been""","Miami Beach, FL, USA",Critter123
"""been""","Oceano, CA, USA",Critter123
"""been""","Bonita Springs, FL, USA",Critter123
"""been""","Vancouver, British Columbia, Canada",Critter123
"""been""","Savannah, GA, USA",Critter123
"""been""","Victoria, British Columbia, Canada",Critter123
"""been""","Clio, CA, USA",Critter123
