tag,place,user
"""been""","Dingle, Ireland",DKS44
"""been""","Andover, NJ, USA",DKS44
"""been""","Portsmouth, NH, USA",DKS44
"""been""","Bishop, CA, USA",DKS44
"""been""","West Hollywood, CA, USA",DKS44
"""been""","Del Mar, CA, USA",DKS44
"""been""","Park City, UT, USA",DKS44
"""been""","Burbank, CA, USA",DKS44
"""been""","Napa, CA, USA",DKS44
"""been""","Lone Pine, CA, USA",DKS44
"""been""","Tralee, Ireland",DKS44
"""been""","Mammoth Lakes, CA, USA",DKS44
"""been""","Essex, NY, USA",DKS44
"""been""","Lake Placid, NY, USA",DKS44
"""been""","Punta de Mita, Mexico",DKS44
"""been""","La Cruz de Huanacaxtle, Mexico",DKS44
"""been""","Big Bear Lake, CA, USA",DKS44
"""been""","Cabo San Lucas, Mexico",DKS44
"""been""","St. Helena, CA, USA",DKS44
"""been""","Santa Barbara, CA, USA",DKS44
"""been""","Big Pine, CA, USA",DKS44
"""been""","Santa Clarita, CA, USA",DKS44
"""been""","New York City, NY, USA",DKS44
"""been""","Bakersfield, CA, USA",DKS44
"""been""","Lake Los Angeles, CA, USA",DKS44
"""been""","Montreal, Quebec, Canada",DKS44
"""been""","Oxnard, CA, USA",DKS44
"""been""","Newmarket-on-Fergus, Ireland",DKS44
"""been""","La Quinta, CA, USA",DKS44
"""been""","Rockport, ME, USA",DKS44
"""been""","Boyes Hot Springs, CA, USA",DKS44
"""been""","South Pasadena, CA, USA",DKS44
"""been""","Rockland, ME, USA",DKS44
"""been""","Crowley Lake, CA, USA",DKS44
"""been""","Baltimore, MD, USA",DKS44
"""been""","Rancho Santa Fe, CA, USA",DKS44
"""been""","Saratoga Springs, NY, USA",DKS44
"""been""","Grasonville, MD, USA",DKS44
"""been""","Galway, Ireland",DKS44
"""been""","Bend, OR, USA",DKS44
"""been""","Hermosa Beach, CA, USA",DKS44
"""been""","Carlsbad, CA, USA",DKS44
"""been""","Milford, PA, USA",DKS44
"""been""","Bethel, ME, USA",DKS44
"""been""","Bilbao, Spain",DKS44
"""been""","Barcelona, Spain",DKS44
"""been""","Solana Beach, CA, USA",DKS44
"""been""","San Luis Obispo, CA, USA",DKS44
"""been""","Pismo Beach, CA, USA",DKS44
"""been""","San Sebastian - Donostia, Spain",DKS44
"""been""","Los Angeles, CA, USA",DKS44
"""been""","Sonoma, CA, USA",DKS44
"""been""","St. Michaels, MD, USA",DKS44
"""been""","Las Vegas, NV, USA",DKS44
"""been""","Chicago, IL, USA",DKS44
"""been""","Riverside, CA, USA",DKS44
"""been""","Dublin, Ireland",DKS44
