tag,place,user
"""been""","Santa Barbara, CA, USA",DS9MW
"""been""","Jamaica, Caribbean",DS9MW
"""been""","Brisbane, CA, USA",DS9MW
"""been""","Santa Clarita, CA, USA",DS9MW
"""been""","Lake Forest, CA, USA",DS9MW
"""been""","Heidelberg, Germany",DS9MW
"""been""","Maui, HI, USA",DS9MW
"""want""","Zermatt, Switzerland",DS9MW
"""been""","Santa Ana, CA, USA",DS9MW
"""been""","Temecula, CA, USA",DS9MW
"""been""","Sacramento, CA, USA",DS9MW
"""been""","Huntington Beach, CA, USA",DS9MW
"""been"",""want""","Brooklyn, NY, USA",DS9MW
"""been""","Berlin, Germany",DS9MW
"""been""","Berkeley, CA, USA",DS9MW
"""been""","Tucson, AZ, USA",DS9MW
"""been""","Hamburg, Germany",DS9MW
"""been""","Auckland Central, New Zealand",DS9MW
"""been""","Stuttgart, Germany",DS9MW
"""been""","Laguna Beach, CA, USA",DS9MW
"""been""","Moreno Valley, CA, USA",DS9MW
"""been""","Beverly Hills, CA, USA",DS9MW
"""been""","Frankfurt, Germany",DS9MW
"""been""","Brisbane, Australia",DS9MW
"""been""","Melbourne, Australia",DS9MW
"""been""","San Francisco, CA, USA",DS9MW
"""been""","Seal Beach, CA, USA",DS9MW
"""been""","New York City, NY, USA",DS9MW
"""been""","Cedar City, UT, USA",DS9MW
"""been""","Solvang, CA, USA",DS9MW
"""been""","Amsterdam, The Netherlands",DS9MW
"""been""","Fullerton, CA, USA",DS9MW
"""been""","Miami Beach, FL, USA",DS9MW
"""been""","Fort Worth, TX, USA",DS9MW
"""been""","Tampa, FL, USA",DS9MW
"""been""","Los Angeles, CA, USA",DS9MW
"""been""","Miami, FL, USA",DS9MW
"""been""","Sonoma, CA, USA",DS9MW
"""been""","Oakland, CA, USA",DS9MW
"""been""","Victoria, British Columbia, Canada",DS9MW
"""been""","Vancouver, British Columbia, Canada",DS9MW
"""been""","Munich, Germany",DS9MW
"""been""","Whistler, British Columbia, Canada",DS9MW
"""been""","Liverpool, UK",DS9MW
"""been""","Las Vegas, NV, USA",DS9MW
"""been""","London, UK",DS9MW
"""been""","Cocoa Beach, FL, USA",DS9MW
"""been""","Santa Monica, CA, USA",DS9MW
"""been""","Phoenix, AZ, USA",DS9MW
"""been""","Needles, CA, USA",DS9MW
"""been""","Anaheim, CA, USA",DS9MW
"""been""","Murrieta, CA, USA",DS9MW
"""been""","Nashville, TN, USA",DS9MW
"""been""","Ka'anapali, HI, USA",DS9MW
"""been""","Corona, CA, USA",DS9MW
"""been""","Napa, CA, USA",DS9MW
"""want""","Puerto Plata, Dominican Republic",DS9MW
"""been""","Torrance, CA, USA",DS9MW
"""been""","Henderson, NV, USA",DS9MW
"""been""","Salinas, CA, USA",DS9MW
"""been""","Glendale, CA, USA",DS9MW
"""been""","New Orleans, LA, USA",DS9MW
"""been""","Hollywood, FL, USA",DS9MW
"""been""","Houston, TX, USA",DS9MW
"""been""","Redondo Beach, CA, USA",DS9MW
"""been""","Dallas, TX, USA",DS9MW
"""been""","Dana Point, CA, USA",DS9MW
"""been""","Malibu, CA, USA",DS9MW
"""been""","Neskowin, OR, USA",DS9MW
"""been""","Redlands, CA, USA",DS9MW
"""been""","Newark, NJ, USA",DS9MW
"""been""","Paradise Valley, NV, USA",DS9MW
"""been""","Kahului, HI, USA",DS9MW
"""been""","Miami Springs, FL, USA",DS9MW
"""been""","Kailua-Kona, HI, USA",DS9MW
"""been""","Virginia Beach, VA, USA",DS9MW
"""been""","Garden Grove, CA, USA",DS9MW
"""been""","Dusseldorf, Germany",DS9MW
"""want""","Marseille, France",DS9MW
"""been""","San Diego, CA, USA",DS9MW
"""been""","Orange, CA, USA",DS9MW
"""been""","Camarillo, CA, USA",DS9MW
"""been""","South San Francisco, CA, USA",DS9MW
"""been""","Rancho Cucamonga, CA, USA",DS9MW
"""been""","Rancho Mirage, CA, USA",DS9MW
"""been""","Blanding, UT, USA",DS9MW
"""been""","Merced, CA, USA",DS9MW
"""been""","Saint Louis, MO, USA",DS9MW
"""been""","Lahaina, HI, USA",DS9MW
"""been""","San Luis Obispo, CA, USA",DS9MW
"""want""","Marsa Alam, Egypt",DS9MW
"""been""","Carmel, CA, USA",DS9MW
"""been""","Kissimmee, FL, USA",DS9MW
"""been""","Portland, OR, USA",DS9MW
"""been""","Riverside, CA, USA",DS9MW
"""been""","Monterey, CA, USA",DS9MW
"""been""","Cape Canaveral, FL, USA",DS9MW
"""been""","La Jolla, CA, USA",DS9MW
"""been""","Orlando, FL, USA",DS9MW
"""want""","Quebec City, Quebec, Canada",DS9MW
"""been""","Pasadena, CA, USA",DS9MW
"""been""","Marina del Rey, CA, USA",DS9MW
"""been""","Cozumel, Mexico",DS9MW
"""been""","West Hollywood, CA, USA",DS9MW
"""been""","Sedona, AZ, USA",DS9MW
"""been""","Chino Hills, CA, USA",DS9MW
"""been""","Palm Desert, CA, USA",DS9MW
"""been""","Palm Springs, CA, USA",DS9MW
"""been""","Fort Lauderdale, FL, USA",DS9MW
"""been""","Prague, Czech Republic",DS9MW
"""been""","Reno, NV, USA",DS9MW
"""been""","Carlsbad, CA, USA",DS9MW
"""been""","Wolfsburg, Germany",DS9MW
