tag,place,user
"""been""","Los Angeles, CA, USA",DaisyO2014
"""been""","Chicago, IL, USA",DaisyO2014
"""been""","Noosaville, Australia",DaisyO2014
"""been""","Seminyak, Indonesia",DaisyO2014
"""been""","Hamburg, Germany",DaisyO2014
"""been""","Las Vegas, NV, USA",DaisyO2014
"""been""","San Miguel de Abona, Spain",DaisyO2014
"""been""","St Ives, UK",DaisyO2014
"""been""","Phuket Town, Thailand",DaisyO2014
"""been""","Macau, China",DaisyO2014
"""been""","Wembley, UK",DaisyO2014
"""been""","Singita Private Game Reserve, South Africa",DaisyO2014
"""been""","Guildford, Australia",DaisyO2014
"""been""","Mala Mala Private Game Reserve, South Africa",DaisyO2014
"""been""","Londolozi Private Game Reserve, South Africa",DaisyO2014
"""been""","Singapore, Singapore",DaisyO2014
"""been""","Negombo, Sri Lanka",DaisyO2014
"""been""","Johannesburg, South Africa",DaisyO2014
"""been""","St. Petersburg, FL, USA",DaisyO2014
"""been""","Avon, CO, USA",DaisyO2014
"""been""","Belfast, UK",DaisyO2014
"""been""","Hounslow, UK",DaisyO2014
"""been""","Sentosa Island, Singapore",DaisyO2014
"""been""","St. Moritz, Switzerland",DaisyO2014
"""been""","San Remo, Australia",DaisyO2014
"""been""","Margaret River, Australia",DaisyO2014
"""been""","Sunshine Beach, Australia",DaisyO2014
"""been""","Geraldton, Australia",DaisyO2014
"""been""","Portland, OR, USA",DaisyO2014
"""been""","Santa Cruz, CA, USA",DaisyO2014
"""been""","Sacramento, CA, USA",DaisyO2014
"""been""","Aspen, CO, USA",DaisyO2014
"""been""","Colombo, Sri Lanka",DaisyO2014
"""been""","San Sebastian de la Gomera, Spain",DaisyO2014
"""been""","Bournemouth, UK",DaisyO2014
"""been""","Washington DC, DC, USA",DaisyO2014
"""been""","Cadenabbia di Griante, Italy",DaisyO2014
"""been""","Nice, France",DaisyO2014
"""been""","Legian, Indonesia",DaisyO2014
"""been""","Santa Monica, CA, USA",DaisyO2014
"""been""","Kerobokan, Indonesia",DaisyO2014
"""been""","New Haven, CT, USA",DaisyO2014
"""been""","Rijeka, Croatia",DaisyO2014
"""been""","Caversham, Australia",DaisyO2014
"""been""","Napa, CA, USA",DaisyO2014
"""been""","Long Beach, CA, USA",DaisyO2014
"""been""","Cambridge, MA, USA",DaisyO2014
"""been""","Tullamarine, Australia",DaisyO2014
"""been""","Cannes, France",DaisyO2014
"""been""","Exeter, UK",DaisyO2014
"""been""","Melbourne, Australia",DaisyO2014
"""been""","Payangan, Indonesia",DaisyO2014
"""been""","Negara, Indonesia",DaisyO2014
"""been""","Perth, Australia",DaisyO2014
"""been""","Rose Bay, Australia",DaisyO2014
"""been""","Broome, Australia",DaisyO2014
"""been""","Sausalito, CA, USA",DaisyO2014
"""been""","Cork, Ireland",DaisyO2014
"""been""","Kata Beach, Thailand",DaisyO2014
"""been""","Sanremo, Italy",DaisyO2014
"""been""","Monterey, CA, USA",DaisyO2014
"""been""","Cologne, Germany",DaisyO2014
"""been""","Pasadena, CA, USA",DaisyO2014
"""been""","Cottesloe, Australia",DaisyO2014
"""been""","Dusseldorf, Germany",DaisyO2014
"""been""","Quindalup, Australia",DaisyO2014
"""been""","Marseille, France",DaisyO2014
"""been""","New York City, NY, USA",DaisyO2014
"""been""","Barcelona, Spain",DaisyO2014
"""been""","Noosa, Australia",DaisyO2014
"""been""","Busselton, Australia",DaisyO2014
"""been""","Middle Swan, Australia",DaisyO2014
"""been""","Jakarta, Indonesia",DaisyO2014
"""been""","Bologna, Italy",DaisyO2014
"""been""","Ljubljana, Slovenia",DaisyO2014
"""been""","Claremont, Australia",DaisyO2014
"""been""","Brighton, UK",DaisyO2014
"""been""","San Diego, CA, USA",DaisyO2014
"""been""","Saint-Tropez, France",DaisyO2014
"""been"",""fave""","Beverly Hills, CA, USA",DaisyO2014
"""been""","Salzburg, Austria",DaisyO2014
"""been""","Carenno, Italy",DaisyO2014
"""been""","Santa Barbara, CA, USA",DaisyO2014
