tag,place,user
"""been""","Helena, MT, USA",DeborahJ889
"""been""","Beverly Hills, MI, USA",DeborahJ889
"""been""","Manhattan Beach, CA, USA",DeborahJ889
"""been""","La Jolla, CA, USA",DeborahJ889
"""been""","Escondido, CA, USA",DeborahJ889
"""been""","Barcelona, Spain",DeborahJ889
"""been""","Madrid, Spain",DeborahJ889
"""been""","San Sebastian - Donostia, Spain",DeborahJ889
"""been""","Austin, TX, USA",DeborahJ889
"""been""","San Marcos, CA, USA",DeborahJ889
"""been""","Dana Point, CA, USA",DeborahJ889
"""been""","San Diego, CA, USA",DeborahJ889
"""been""","San Luis Obispo, CA, USA",DeborahJ889
"""been""","Pismo Beach, CA, USA",DeborahJ889
"""been""","Encinitas, CA, USA",DeborahJ889
"""been""","Southfield, MI, USA",DeborahJ889
"""been""","Bodega Bay, CA, USA",DeborahJ889
"""been""","Portland, OR, USA",DeborahJ889
"""been""","Seattle, WA, USA",DeborahJ889
"""been""","Coronado, CA, USA",DeborahJ889
"""been""","Carlsbad, CA, USA",DeborahJ889
"""been""","Morro Bay, CA, USA",DeborahJ889
"""been""","Inglewood, CA, USA",DeborahJ889
"""been""","Palm Springs, CA, USA",DeborahJ889
"""been""","Cayucos, CA, USA",DeborahJ889
"""been""","Los Osos, CA, USA",DeborahJ889
"""been""","Pacific Grove, CA, USA",DeborahJ889
"""been""","Nephi, UT, USA",DeborahJ889
