tag,place,user
"""been""","Norfolk, VA, USA",Deezer1
"""been""","Asheville, NC, USA",Deezer1
"""been""","Rosemont, IL, USA",Deezer1
"""been""","Beverly Hills, CA, USA",Deezer1
"""been""","Ocho Rios, Jamaica",Deezer1
"""been""","Providenciales, Turks and Caicos",Deezer1
"""been""","Willemstad, Curacao",Deezer1
"""been""","Duluth, MN, USA",Deezer1
"""been""","East End, Cayman Islands",Deezer1
"""been""","St. Lawrence Gap, Barbados",Deezer1
"""been""","Emerald Isle, NC, USA",Deezer1
"""want""","Wilmington, NC, USA",Deezer1
"""been""","Nashville, TN, USA",Deezer1
"""been""","Fort Lauderdale, FL, USA",Deezer1
"""been""","Sturtevant, WI, USA",Deezer1
"""been""","Lahaina, HI, USA",Deezer1
"""been""","Nags Head, NC, USA",Deezer1
"""been""","Hana, HI, USA",Deezer1
"""been""","Burbank, CA, USA",Deezer1
"""been""","Sturgeon Bay, WI, USA",Deezer1
"""been""","Philadelphia, PA, USA",Deezer1
"""been""","Panama City Beach, FL, USA",Deezer1
"""been""","Puerto Vallarta, Mexico",Deezer1
"""been""","Santa Monica, CA, USA",Deezer1
"""been""","Clearwater, FL, USA",Deezer1
"""been""","Atlantic Beach, NC, USA",Deezer1
"""been""","Charleston, SC, USA",Deezer1
"""been""","West Hollywood, CA, USA",Deezer1
"""been""","North Myrtle Beach, SC, USA",Deezer1
"""been""","Cleveland, OH, USA",Deezer1
"""been""","Tokyo, Japan",Deezer1
"""been""","Minneapolis, MN, USA",Deezer1
"""been""","Nagoya, Japan",Deezer1
"""been""","Redondo Beach, CA, USA",Deezer1
"""been""","Raleigh, NC, USA",Deezer1
"""been""","Charlotte, NC, USA",Deezer1
"""been""","Tampa, FL, USA",Deezer1
"""been""","Greensboro, NC, USA",Deezer1
"""been""","London, UK",Deezer1
"""been""","Wisconsin Dells, WI, USA",Deezer1
"""been""","Los Angeles, CA, USA",Deezer1
"""been""","Orlando, FL, USA",Deezer1
"""been""","Louisville, KY, USA",Deezer1
"""been""","Kenosha, WI, USA",Deezer1
"""been""","Durham, NC, USA",Deezer1
"""been""","Denver, CO, USA",Deezer1
"""been""","Tallahassee, FL, USA",Deezer1
"""been""","Vieux Fort, St. Lucia",Deezer1
"""been""","Wailea, HI, USA",Deezer1
"""been""","Detroit, MI, USA",Deezer1
"""been""","Ka'anapali, HI, USA",Deezer1
"""been""","Playa del Carmen, Mexico",Deezer1
"""been""","West Bay, Cayman Islands",Deezer1
"""been""","Isla Mujeres, Mexico",Deezer1
"""been""","Paradise Island, Bahamas",Deezer1
"""been""","Nassau, Bahamas",Deezer1
"""been""","Kill Devil Hills, NC, USA",Deezer1
"""been""","Punta Cana, Dominican Republic",Deezer1
"""been""","Milwaukee, WI, USA",Deezer1
"""been""","Palm Springs, CA, USA",Deezer1
"""been""","Schaumburg, IL, USA",Deezer1
"""been""","Myrtle Beach, SC, USA",Deezer1
"""been""","Virginia Beach, VA, USA",Deezer1
"""been""","Madison, WI, USA",Deezer1
"""been""","Las Vegas, NV, USA",Deezer1
"""been""","Oranjestad, Aruba",Deezer1
"""been""","Dennery, St. Lucia",Deezer1
"""been""","Seven Mile Beach, Cayman Islands",Deezer1
"""been""","Saint Paul, MN, USA",Deezer1
"""been""","St. Thomas, U.S. Virgin Islands",Deezer1
"""been""","Palm - Eagle Beach, Aruba",Deezer1
"""been""","Lake Geneva, WI, USA",Deezer1
"""been""","Cozumel, Mexico",Deezer1
"""been""","Cancun, Mexico",Deezer1
"""been""","Osaka, Japan",Deezer1
"""been""","Chicago, IL, USA",Deezer1
"""been""","Grand Cayman, Cayman Islands",Deezer1
"""been""","Winston Salem, NC, USA",Deezer1
"""been""","San Juan, Puerto Rico",Deezer1
"""been""","Kyoto, Japan",Deezer1
